m_inf,gamma_conforming,gamma_levelset,gap
0.50,0.0869,0.0872,+0.32%
0.65,0.1038,0.1043,+0.51%
0.70,0.1104,0.1160,+5.01%
0.75,0.1214,0.1393,+14.74%
