re_theta,H,cf,band,dev,inside
573.6848470476594,1.5213354398069427,0.004202263413837473,0.09276189000890772,0.14307981051959562,0
617.5597280950117,1.5026190069067076,0.004224858963391581,0.09288364282787832,0.12245233336918682,0
663.031023051783,1.4910112890434413,0.004203482654736542,0.09268059898531862,0.11124618016955012,0
709.8479295228683,1.4825153498582198,0.004166060845161845,0.09219469195100424,0.10400477172660427,0
757.9323156888158,1.475587309748237,0.0041231132620045624,0.09146396528227599,0.09859154068894405,0
807.2763625261805,1.4695629916183757,0.004078835192057597,0.0905204691101191,0.09409955062966124,0
857.9030340956975,1.464128348443813,0.004034944206317518,0.08939071399462323,0.09011638781201814,0
909.8497241225501,1.459120312463733,0.0039921330043832534,0.0880966035630226,0.08644189011683334,1
963.1611347965936,1.4544457005397722,0.003950653860795259,0.08665631931202876,0.08297225401810726,1
1017.8860580870914,1.450045994458631,0.0039105656888793975,0.08508505053615033,0.07964974869238395,1
1074.0758884024206,1.4458811414394357,0.0038718426651490655,0.08339557266905355,0.07643981666163391,1
1131.7839350838715,1.441921681797389,0.0038344234222836425,0.08159870110483675,0.07332017407012903,1
1191.0651172363703,1.4381447047995346,0.003798233745343043,0.07970364791156812,0.0702753992886812,1
1251.9758466327091,1.4345316476355887,0.003763197080596385,0.07771830391792699,0.06729413206919277,1
1314.574005339944,1.4310670232398504,0.0037292393000283685,0.07564946348052673,0.06436756104035413,1
1378.9189719655526,1.427737638583476,0.0036962907131024535,0.0735030049969119,0.0614885701110216,1
1445.071673240321,1.4245320847792644,0.0036642867516872564,0.07128403699743709,0.05865123393947702,1
1513.0946489850403,1.421440385624808,0.003633168021781331,0.0689970172468552,0.055850505125340955,1
1583.0521242659236,1.418453743349551,0.0036028800647401496,0.06664585051055787,0.053082010659496914,1
1655.0100855331025,1.415564347117359,0.0035733729983396596,0.06423396932384082,0.05034191311360525,1
1729.0363591137418,1.4127652240158728,0.0035446011221717533,0.061764401120238455,0.04762681172241845,1
1805.2006912738057,1.4100501201229343,0.003516522528049191,0.05923982433624684,0.04493366912205121,1
1883.574829516016,1.4074134036480623,0.0034890987341902988,0.05666261554950823,0.04225975521495651,1
1964.232605026378,1.4048499848227503,0.003462294350414947,0.05403488927908457,0.03960260295618334,1
2047.2500163121342,1.4023552488235733,0.003436076775982234,0.05135853174618476,0.03695997272844742,1
2132.7053141415577,1.399924999056769,0.003410415928908164,0.048635229637168674,0.034329823115970215,1
2220.6790879302666,1.3975554088026465,0.003385284004487597,0.04586649470989,0.03171028655206909,1
2311.2543537344923,1.3952429797281836,0.0033606552600942917,0.04305368492628797,0.029099648817308754,1
2404.516644014825,1.3929845060697876,0.0033365058235443937,0.04019802266879024,0.02649633158476916,1
2500.5540993360873,1.390777043568878,0.0033128135222549016,0.037300610498008924,0.023898877462183443,1
2599.4575621648564,1.3886178823999455,0.003289557730818006,0.03436244482899397,0.02130593707245554,1
2701.32067292318,1.3865045234897397,0.0032667192347629113,0.031384427838567756,0.018716257841763118,1
2806.239968453706,1.38443465772575,0.003244280108586022,0.03,0.016128674219584527,1
2914.3149830472166,1.3824061476369292,0.0032222236063737413,0.03,0.01354209910569315,1
3025.6483521824657,1.380417011202825,0.003200534063529065,0.03,0.010955516307103563,1
3140.3459191245693,1.3784654075073377,0.0031791968082778284,0.03,0.00836797388720567,1
3258.516844527355,1.3765496239831558,0.003158198081880602,0.03,0.005778578268032852,1
3380.2737191849706,1.3746680650459147,0.003137524966531584,0.03,0.0031864889932518015,1
3505.7326800771057,1.3728192419397123,0.0031171653200958963,0.03,0.0041589083818958095,1
3635.0135298526247,1.3710017636465637,0.003097107716915184,0.03,0.005124959591487288,1
3768.2398598975506,1.3692143287252707,0.0030773413940503435,0.03,0.006072708689297102,1
3905.5391771353575,1.367455717970889,0.003057856202368671,0.03,0.007224002314447642,1
4047.0430347083748,1.3657247877969183,0.0030386425619755362,0.03,0.009840607779478816,1
4192.887166691413,1.3640204642648945,0.00301969142150008,0.03,0.01246406370169395,1
4343.211626993206,1.3623417376724445,0.0030009942209261926,0.03,0.015094945317335906,1
4498.1609326011085,1.3606876576578748,0.002982542857507601,0.03,0.017733801051960096,1
4657.884211331069,1.3590573287455279,0.00296432965456522,0.03,0.02038115454222833,1
4822.535354245982,1.3574499062988619,0.0029463473328118863,0.03,0.023037506463738255,1
4992.27317291196,1.3558645928301383,0.002928588984005124,0.03,0.02570333620002696,1
5167.261561663765,1.354300634635228,0.002911048046680214,0.03,0.02837910335987237,1
5347.669665056841,1.3527573187163426,0.0028937182837911286,0.03200580429133191,0.031065249165771025,1
5533.6720506882575,1.3512339699639913,0.0028765937620832734,0.035674704185704606,0.033762197726473486,1
