quantity,raw,smoothed
sawtooth_metric_upper,7.5809e-02,2.3322e-04
n_reversals_upper,39,1
upper_shock_x_c,0.6041,0.6066
cl_pressure,0.3572,0.3562
cd_pressure,0.01758,0.02014
cl_kj (Gamma, unchanged),0.3638,0.3638
mach_max (solution, unchanged),1.3729,1.3729
