eta,tip_masked,n_points,rms_inviscid,rms_viscous,delta_rms,better,input_limited
0.20,0,34,0.09883,0.09690,-0.00193,1,1
0.44,0,34,0.11590,0.11600,+0.00010,0,1
0.65,0,34,0.13997,0.14088,+0.00091,0,1
0.80,0,34,0.11744,0.11803,+0.00059,0,1
0.90,0,45,0.15490,0.15826,+0.00336,0,1
0.96,1,45,0.14483,0.14702,+0.00219,0,1
0.99,1,45,0.22229,0.22317,+0.00088,0,1
