eta,side,x_over_c,cp
0.20,upper,0.00000,0.449195
0.20,upper,0.00403,0.379136
0.20,upper,0.01436,-0.471076
0.20,upper,0.02356,-0.431726
0.20,upper,0.03449,-0.590886
0.20,upper,0.05169,-0.671374
0.20,upper,0.07333,-0.594858
0.20,upper,0.09496,-0.572675
0.20,upper,0.11521,-0.522200
0.20,upper,0.13589,-0.508439
0.20,upper,0.15616,-0.459766
0.20,upper,0.17687,-0.533853
0.20,upper,0.19719,-0.504867
0.20,upper,0.21797,-0.520188
0.20,upper,0.23828,-0.516212
0.20,upper,0.25906,-0.517269
0.20,upper,0.27938,-0.527060
0.20,upper,0.30017,-0.533267
0.20,upper,0.32049,-0.532006
0.20,upper,0.34129,-0.554968
0.20,upper,0.36160,-0.551858
0.20,upper,0.38242,-0.548611
0.20,upper,0.40274,-0.549532
0.20,upper,0.42354,-0.568821
0.20,upper,0.44385,-0.573638
0.20,upper,0.46468,-0.548914
0.20,upper,0.48498,-0.544573
0.20,upper,0.50575,-0.556414
0.20,upper,0.52605,-0.529870
0.20,upper,0.54683,-0.520350
0.20,upper,0.56711,-0.484583
0.20,upper,0.58789,-0.471894
0.20,upper,0.60816,-0.427291
0.20,upper,0.62891,-0.384714
0.20,upper,0.64918,-0.330241
0.20,upper,0.66992,-0.298127
0.20,upper,0.69016,-0.245929
0.20,upper,0.71088,-0.220695
0.20,upper,0.73115,-0.154507
0.20,upper,0.75186,-0.139334
0.20,upper,0.77211,-0.122747
0.20,upper,0.79281,-0.100772
0.20,upper,0.81305,-0.072875
0.20,upper,0.83380,-0.065452
0.20,upper,0.85406,-0.019334
0.20,upper,0.87473,0.006113
0.20,upper,0.89516,0.047688
0.20,upper,0.91729,0.075816
0.20,upper,0.93920,0.139285
0.20,upper,0.95333,0.174852
0.20,upper,0.96613,0.169628
0.20,upper,0.97368,0.234560
0.20,upper,0.98308,0.238398
0.20,upper,0.98952,0.328858
0.20,upper,0.99836,0.352371
0.20,lower,0.00007,0.824282
0.20,lower,0.00414,0.745734
0.20,lower,0.01252,0.257785
0.20,lower,0.02155,0.366240
0.20,lower,0.02981,0.036003
0.20,lower,0.04320,0.050367
0.20,lower,0.05425,0.006711
0.20,lower,0.07341,0.021768
0.20,lower,0.09704,-0.029886
0.20,lower,0.11636,-0.042145
0.20,lower,0.13852,-0.069194
0.20,lower,0.15777,-0.059404
0.20,lower,0.17998,-0.094699
0.20,lower,0.19934,-0.098454
0.20,lower,0.22162,-0.124852
0.20,lower,0.24096,-0.136652
0.20,lower,0.26140,-0.143993
0.20,lower,0.28075,-0.144626
0.20,lower,0.28255,-0.163998
0.20,lower,0.30191,-0.162855
0.20,lower,0.32414,-0.192584
0.20,lower,0.34351,-0.201772
0.20,lower,0.36574,-0.206483
0.20,lower,0.38511,-0.222083
0.20,lower,0.40734,-0.241624
0.20,lower,0.42671,-0.218581
0.20,lower,0.44893,-0.230955
0.20,lower,0.46829,-0.239085
0.20,lower,0.49051,-0.241088
0.20,lower,0.50987,-0.244641
0.20,lower,0.53207,-0.234690
0.20,lower,0.55141,-0.221128
0.20,lower,0.56662,-0.205802
0.20,lower,0.58595,-0.203622
0.20,lower,0.59293,-0.186192
0.20,lower,0.61225,-0.175721
0.20,lower,0.63443,-0.159220
0.20,lower,0.65374,-0.156343
0.20,lower,0.67590,-0.124929
0.20,lower,0.69520,-0.124390
0.20,lower,0.71735,-0.105060
0.20,lower,0.73664,-0.094399
0.20,lower,0.75880,-0.069184
0.20,lower,0.77808,-0.066871
0.20,lower,0.80021,-0.040601
0.20,lower,0.81949,-0.037455
0.20,lower,0.84159,-0.008905
0.20,lower,0.86088,-0.003197
0.20,lower,0.87100,0.035768
0.20,lower,0.89046,0.034007
0.20,lower,0.90274,0.099088
0.20,lower,0.92187,0.101694
0.20,lower,0.94402,0.170116
0.20,lower,0.95801,0.171084
0.20,lower,0.97318,0.221529
0.20,lower,0.98455,0.258109
0.20,lower,0.99218,0.325056
0.20,lower,1.00000,0.351481
0.44,upper,0.00000,0.263822
0.44,upper,0.00513,0.088605
0.44,upper,0.01402,-0.533223
0.44,upper,0.02577,-0.647163
0.44,upper,0.04426,-0.748846
0.44,upper,0.06896,-0.711974
0.44,upper,0.09390,-0.716485
0.44,upper,0.11718,-0.763706
0.44,upper,0.14008,-0.670877
0.44,upper,0.16353,-0.670944
0.44,upper,0.18647,-0.633185
0.44,upper,0.20992,-0.623258
0.44,upper,0.23289,-0.602995
0.44,upper,0.25636,-0.593524
0.44,upper,0.27931,-0.589328
0.44,upper,0.30281,-0.604384
0.44,upper,0.32579,-0.593337
0.44,upper,0.34929,-0.581512
0.44,upper,0.37226,-0.579173
0.44,upper,0.39578,-0.580110
0.44,upper,0.41875,-0.571149
0.44,upper,0.44226,-0.565959
0.44,upper,0.46522,-0.523505
0.44,upper,0.48872,-0.523459
0.44,upper,0.51168,-0.483608
0.44,upper,0.53517,-0.468984
0.44,upper,0.55811,-0.413628
0.44,upper,0.58159,-0.392817
0.44,upper,0.60452,-0.314292
0.44,upper,0.62797,-0.292062
0.44,upper,0.65088,-0.228246
0.44,upper,0.67431,-0.203200
0.44,upper,0.69719,-0.140237
0.44,upper,0.72062,-0.127696
0.44,upper,0.74350,-0.096369
0.44,upper,0.76691,-0.085452
0.44,upper,0.78978,-0.050717
0.44,upper,0.81318,-0.041972
0.44,upper,0.83605,-0.015392
0.44,upper,0.86029,0.011915
0.44,upper,0.88376,0.065209
0.44,upper,0.90786,0.075578
0.44,upper,0.93272,0.141651
0.44,upper,0.94374,0.179880
0.44,upper,0.95862,0.175144
0.44,upper,0.97031,0.225780
0.44,upper,0.98077,0.235250
0.44,upper,0.98940,0.348433
0.44,upper,1.00000,0.350559
0.44,lower,0.00009,0.791914
0.44,lower,0.00453,0.858994
0.44,lower,0.01733,0.274849
0.44,lower,0.02981,0.268891
0.44,lower,0.03574,0.049457
0.44,lower,0.05901,0.041954
0.44,lower,0.08348,-0.055976
0.44,lower,0.10613,-0.048147
0.44,lower,0.13005,-0.061200
0.44,lower,0.15129,-0.082511
0.44,lower,0.17607,-0.124700
0.44,lower,0.19791,-0.103313
0.44,lower,0.22302,-0.149138
0.44,lower,0.24488,-0.155917
0.44,lower,0.27000,-0.172048
0.44,lower,0.29189,-0.171841
0.44,lower,0.31704,-0.189573
0.44,lower,0.33892,-0.182319
0.44,lower,0.36403,-0.225951
0.44,lower,0.38590,-0.224540
0.44,lower,0.38907,-0.236714
0.44,lower,0.41099,-0.236329
0.44,lower,0.43296,-0.229702
0.44,lower,0.45485,-0.229977
0.44,lower,0.47996,-0.237480
0.44,lower,0.50184,-0.225223
0.44,lower,0.52694,-0.206995
0.44,lower,0.54880,-0.221924
