eta,tip_masked,n_points,rms_inviscid,rms_viscous,delta_rms,better,input_limited
0.20,0,34,0.14019,0.14278,+0.00259,0,1
0.44,0,34,0.17246,0.17504,+0.00258,0,1
0.65,0,34,0.20604,0.20873,+0.00269,0,1
0.80,0,34,0.18219,0.18392,+0.00173,0,1
0.90,0,45,0.25031,0.25297,+0.00266,0,1
0.96,1,45,0.22726,0.22922,+0.00196,0,1
0.99,1,45,0.28413,0.28705,+0.00292,0,1
