k,ds_max,ds_change_rel,ds_neg_floored,mdot_max,ibl_n_iter,ibl_converged,ibl_final_residual,cl_p,cl_kj,cd_p
0,,,,0.0,,,,0.2772571194268375,0.28187510687292416,0.013227321600341813
1,0.002048325436918294,inf,0,0.005479776845785429,100,False,1.8734556157740009e-06,0.27602809327278877,0.2810019986898465,0.013881274728319614
2,0.0020756145179038196,0.015683148209584653,0,0.006491927079256982,100,False,1.8541997734977486e-06,0.27603451586527655,0.28100985902657233,0.013881259723907984
3,0.0020923249416909084,0.010850120594251252,0,0.006801487651810554,100,False,1.8327888773073332e-06,0.27603303542850594,0.2810103180489131,0.013877267939262063
4,0.002105578844929694,0.024823362678555293,0,0.00693036080094007,100,False,1.815878418284344e-06,0.2760279737810068,0.28100714538233684,0.01387310570169674
5,0.002118490766737305,0.01047881936450578,0,0.007013054839285212,100,False,1.803502878683422e-06,0.27602421231256774,0.28100468364792275,0.0138694660784301
6,0.0021327744662203,0.014418291620243332,0,0.0071028313106558895,100,False,1.7915786020931808e-06,0.27601912031979614,0.2810011225302634,0.013865441516043662
7,0.0021442400686633185,0.016605003864370617,0,0.007147917694088672,100,False,1.7813422173165825e-06,0.2760150992429296,0.2809984118939255,0.013862049653369108
8,0.002156242014152896,0.02392568780615171,0,0.007316651662780203,100,False,1.771594253216385e-06,0.27600786293085944,0.28099319524764826,0.01385841967820793
9,0.003891930190909539,0.44782041500599795,0,0.08540008591334065,100,False,1.8796569402312775e-06,0.2710407745615042,0.27610226132626786,0.013251320699355355
10,0.00393544708927908,0.027335410557200727,0,0.10595482675345776,100,False,1.8542043655549417e-06,0.2705988234371549,0.2756627835228915,0.013174344843194418
