state,sha,n_all,n_common,usable,kpos_all,kpos_clean,Dall_P0,Dall_P1,Dall_P2,Dall_P3,Dcln_P0,Dcln_P1,Dcln_P2,Dcln_P3
W M0.76,f48370db9e10,6,3,1,P3,P3,0.422758,0.027192,0.028859,0.0137,0.018748,0.028848,0.017923,0.008772
W M0.78,ec74b4e78663,6,3,1,P1,P1,0.353979,0.025058,0.030233,0.030233,0.023258,0.018533,0.028883,0.028883
W M0.80,2ac55955973a,7,4,1,P1,P1,0.015199,0.009051,0.015308,0.012385,0.009207,0.008242,0.013847,0.010263
W M0.82,617235784436,7,4,1,P3,P3,0.036916,0.006154,0.006418,0.003895,0.008802,0.003332,0.005025,0.003001
W M0.8395,1c2d464b4629,7,4,1,P2,P0,0.013211,0.016887,0.0055,0.0055,0.004213,0.009355,0.005058,0.007077
W M0.86,1ed066b98395,7,4,1,P1,P1,0.014047,0.004509,0.004509,0.004509,0.005803,0.004364,0.004364,0.004364
W M0.88,3b81dcbb9243,7,4,1,P1,P0,0.012026,0.002273,0.012026,0.002273,0.002244,0.002244,0.006668,0.002244
WB M0.78,7f6365afae37,6,4,1,P3,P1,0.033116,0.018795,0.023604,0.017113,0.020478,0.004789,0.008374,0.015931
WB M0.82,0205eb9dd81e,7,5,1,P2,P2,0.024957,0.013699,0.006659,0.007397,0.023835,0.012385,0.006147,0.007286
WB M0.86,f4cb1db9a8d9,7,5,1,P0,P0,0.004643,0.010356,0.012015,0.019983,0.004481,0.005037,0.005037,0.005037
WB M0.88,e9e3960bbbf1,7,5,1,P2,P2,0.005269,0.003774,0.00319,0.006362,0.003774,0.003774,0.001713,0.003561
WB xcoarse,99cdc2b49c65,7,5,1,P0,P2,0.019182,0.019182,0.023125,0.026417,0.01247,0.01247,0.012026,0.026417
WB medium,6e031ae359a0,7,5,1,P2,P2,0.0067,0.0067,0.004351,0.0067,0.006225,0.003876,0.002566,0.002566
