state,eta,fwd,bwd
W M0.76,0.2,-0.008492406000906519,0.007476019305011974
W M0.76,0.44,0.012454148534429249,-0.010973428263223423
W M0.76,0.65,-0.00904369594995491,0.020696686599625147
W M0.76,0.8,-0.013171880643855549,0.006487560344744514
W M0.76,0.9,0.015407653446329883,-0.011341707313106686
W M0.76,0.96,-0.02263658876204236,-0.013320064240832125
W M0.76,0.99,-0.02402756679219118,-0.03312849413109761
W M0.78,0.2,-0.00669586865702454,-0.008713334952509921
W M0.78,0.44,-0.0012911999044098454,-0.00951127059980067
W M0.78,0.65,-0.007147320885003916,0.01437343859034601
W M0.78,0.8,-0.012636325716454344,0.008482749205012186
W M0.78,0.9,-0.01257839477638531,-0.010431983694827812
W M0.78,0.96,-0.0247197800712691,-0.01709511882265402
W M0.78,0.99,-0.015003456723015826,-0.02046535389286902
W M0.80,0.2,-0.004450814459888042,-0.00799884638514825
W M0.80,0.44,0.00963555099589214,-0.009120540706680946
W M0.80,0.65,-0.005985339821122204,-0.010120984943105538
W M0.80,0.8,-0.012091734240662289,-0.010651283065099604
W M0.80,0.9,-0.03154198452640844,0.006401566860108454
W M0.80,0.96,-0.016034918038191126,-0.004432572706637161
W M0.80,0.99,-0.023859788694861397,-0.010219807084331511
W M0.82,0.2,-0.002882493166341593,-0.007682127177658704
W M0.82,0.44,0.010125104561517717,-0.00885907499581784
W M0.82,0.65,-0.004686361639582137,-0.00890422188601303
W M0.82,0.8,-0.011462954681378756,0.0026531977138847807
W M0.82,0.9,-0.012820974419599784,-0.011546758575141092
W M0.82,0.96,-0.03475572435516572,-0.014075465868403636
W M0.82,0.99,0.003606481952721091,-0.010472997926424171
W M0.8395,0.2,0.003333329513620753,-0.007420705671504324
W M0.8395,0.44,-0.008457159280767068,-0.008569314568253383
W M0.8395,0.65,-0.003963986392738206,-0.008597431305404357
W M0.8395,0.8,-0.011021501883708762,0.0032269214305025162
W M0.8395,0.9,-0.012390928686614067,-0.013432656312989566
W M0.8395,0.96,-0.038714368179167624,-0.011437454488961107
W M0.8395,0.99,-0.0020759615244216323,0.015334238825184143
W M0.86,0.2,0.0016641052835624226,-0.007134769164094723
W M0.86,0.44,0.005943521262115392,-0.008339894421045657
W M0.86,0.65,-0.003078646964185472,-0.008241047489874864
W M0.86,0.8,-0.010619244247961679,0.0025214287651752487
W M0.86,0.9,-0.012082344062520178,0.0038072847232272222
W M0.86,0.96,-0.032805474872952545,0.005198943561841418
W M0.86,0.99,0.07314884789141785,0.0007523468394909916
W M0.88,0.2,0.003626369981109323,-0.0068354776205402645
W M0.88,0.44,0.0021438598357959027,-0.008106401990278123
W M0.88,0.65,0.011965084772801116,-0.007951918469292107
W M0.88,0.8,-0.010157285884944578,-0.010652994268008809
W M0.88,0.9,-0.01170304688158419,0.00473856408924378
W M0.88,0.96,0.01276523294943721,-0.0070397692294498215
W M0.88,0.99,0.021037004569646967,0.030892999191333592
WB M0.78,0.2,0.00034317603704686617,-0.007361480155197664
WB M0.78,0.44,-0.003729060620263902,-0.007301493428599648
WB M0.78,0.65,-0.014984343010756906,0.012197700727321348
WB M0.78,0.8,0.003751115793040438,-0.005582295782142643
WB M0.78,0.9,-0.00958650859366078,-0.014737561279686923
WB M0.78,0.96,-0.019386902389531446,-0.00758465002508657
WB M0.78,0.99,-0.030267484472893,-0.026957693694516893
WB M0.82,0.2,0.021822402266359786,0.003414985624996869
WB M0.82,0.44,0.011468254821916157,-0.010904936808091015
WB M0.82,0.65,0.020025416858080736,-0.01811290737411636
WB M0.82,0.8,-0.010915719623343645,-0.019135092098683082
WB M0.82,0.9,-0.012231895128019088,-0.01753013705401657
WB M0.82,0.96,-0.018064815564521136,-0.017092284540298708
WB M0.82,0.99,-0.01137243623565129,-0.014084166456841435
WB M0.86,0.2,0.003994483628424028,-0.004239526713497699
WB M0.86,0.44,-0.0008554427092575256,-0.013201940729589134
WB M0.86,0.65,-0.005479414261600368,-0.0030009269721572585
WB M0.86,0.8,-0.010627809068650462,-0.009836881333747605
WB M0.86,0.9,-0.02106726525949343,-0.004665101462164478
WB M0.86,0.96,0.00299291909557603,-0.025383779797147954
WB M0.86,0.99,0.10397395659865949,-0.012174769270049346
WB M0.88,0.2,0.00447956070340183,-0.01698041661461913
WB M0.88,0.44,0.0033001391841246397,-0.008583064210571534
WB M0.88,0.65,-0.0033561496451279815,-0.001870134030747872
WB M0.88,0.8,-0.01622412213743618,-0.008230963880294317
WB M0.88,0.9,0.0044378580308355176,-0.008327405514312325
WB M0.88,0.96,-0.016951577097047643,-0.004246021790250021
WB M0.88,0.99,0.023780366100279005,0.01902079721774297
WB xcoarse,0.2,0.003087263665357831,-0.011950796458843116
WB xcoarse,0.44,-0.025006653405592494,0.004507782835337482
WB xcoarse,0.65,-0.007135450474663352,0.003973315231119323
WB xcoarse,0.8,0.00364561051851775,-0.029714537436413835
WB xcoarse,0.9,-0.0027009110287150584,-0.002825381635957136
WB xcoarse,0.96,-0.019341981280874276,-0.03275107356477136
WB xcoarse,0.99,0.014840677985192396,0.0005395843078193074
WB medium,0.2,-0.0068683305373749,-0.007027418507842831
WB medium,0.44,-0.004627329672056368,-0.005578701808828579
WB medium,0.65,-0.007037725722237154,-0.00806751130443173
WB medium,0.8,-0.01012780099281485,-0.005060274450713109
WB medium,0.9,-0.0020789065923135785,-0.0019261391933931282
WB medium,0.96,-0.008279501958792457,-0.019904380821872625
WB medium,0.99,0.3814604142281035,0.018165241167203416
