side,x_c,cp_exp,cp_cfd,diff
upper,0.006,-0.6827,-0.5761241403544135,0.10657585964558647
upper,0.0104,-0.8572,-0.6925466099038253,0.16465339009617463
upper,0.0187,-1.0439,-1.1409372449116324,-0.09703724491163235
upper,0.0375,-1.1741,-1.293686298860536,-0.11958629886053607
upper,0.05,-1.1973,-1.3036344162350177,-0.10633441623501771
upper,0.1,-1.1123,-1.3289976248557782,-0.21669762485577815
upper,0.15,-1.0981,-1.3502581984623103,-0.25215819846231025
upper,0.2,-1.0834,-1.4093457347670257,-0.3259457347670258
upper,0.2208,-1.089,-1.3679854285945166,-0.2789854285945166
upper,0.25,-1.111,-1.3513346646321622,-0.24033466463216224
upper,0.3,-1.1535,-1.4083207962236013,-0.2548207962236013
upper,0.35,-1.1727,-1.3588155520686973,-0.18611555206869723
upper,0.375,-1.1917,-1.3696036830707832,-0.1779036830707832
upper,0.4,-1.2085,-1.3736909243112854,-0.16519092431128546
upper,0.425,-1.229,-1.3830746354947292,-0.1540746354947291
upper,0.45,-1.242,-1.3754721118088562,-0.1334721118088562
upper,0.475,-1.2593,-1.358927015113251,-0.099627015113251
upper,0.5,-1.2853,-1.3310097434299606,-0.04570974342996048
upper,0.525,-1.3097,-1.3366447886966728,-0.026944788696672717
upper,0.55,-1.1249,-1.326868605547208,-0.20196860554720808
upper,0.575,-0.7552,-1.17323157378907,-0.41803157378906997
upper,0.6,-0.6338,-0.9281968066594696,-0.29439680665946955
upper,0.6196,-0.5681,-0.8005055280749253,-0.2324055280749252
upper,0.65,-0.4949,-0.40892313188116713,0.08597686811883287
upper,0.7,-0.3915,-0.19608665041182313,0.19541334958817688
upper,0.75,-0.2983,-0.2554462873714038,0.04285371262859622
upper,0.775,-0.2535,-0.2552066022707156,-0.001706602270715618
upper,0.8,-0.2103,-0.2112218434932345,-0.0009218434932345143
upper,0.825,-0.1654,-0.1293213411302379,0.03607865886976208
upper,0.85,-0.1226,-0.06898880555062052,0.05361119444937948
upper,0.875,-0.076,-0.03532928929312021,0.04067071070687979
upper,0.9,-0.0325,0.024441704203766294,0.05694170420376629
upper,0.925,0.0114,0.09049052749790223,0.07909052749790224
upper,0.95,0.057,0.09555944506194625,0.038559445061946244
upper,0.975,0.1012,0.17775226801060784,0.07655226801060784
upper,0.9875,0.1232,0.3369571643338844,0.2137571643338844
lower,0.006,0.9971,1.1356482380748194,0.13854823807481942
lower,0.0087,0.8967,1.1194902346188127,0.22279023461881264
lower,0.0125,0.7849,0.9701777968926684,0.18527779689266832
lower,0.0186,0.6501,0.7356464936701724,0.08554649367017242
lower,0.0375,0.4393,0.5208815821242521,0.08158158212425204
lower,0.0625,0.2776,0.4352668364304911,0.15766683643049106
lower,0.15,0.0203,0.10556076741448917,0.08526076741448917
lower,0.2,-0.0641,0.05348685476655989,0.11758685476655989
lower,0.25,-0.1462,-0.036073817981923356,0.11012618201807664
lower,0.3,-0.2246,-0.10623907126691035,0.11836092873308965
lower,0.35,-0.296,-0.21345729701229857,0.08254270298770142
lower,0.4,-0.3187,-0.24219177750731538,0.0765082224926846
lower,0.45,-0.2673,-0.15074811810176394,0.11655188189823604
lower,0.5,-0.1836,-0.137578035605312,0.046021964394688
lower,0.55,-0.0971,-0.027598326194275324,0.06950167380572468
lower,0.6,-0.0108,0.09588169967201768,0.10668169967201768
lower,0.65,0.0594,0.20302617940494833,0.14362617940494832
lower,0.7,0.12,0.00014991621540178662,-0.11985008378459822
lower,0.75,0.1786,0.36379039608654684,0.18519039608654683
lower,0.8,0.2281,0.3261697076789133,0.09806970767891329
lower,0.85,0.2657,0.2306767440735697,-0.0350232559264303
lower,0.9,0.2917,0.3499562683818482,0.058256268381848164
lower,0.95,0.2922,0.33051196034222713,0.038311960342227114
