h_far,h_le,h_med_r0.5_1,h_med_r0_0.5,h_med_r1_2,h_med_r2_4,h_med_r4_8,h_med_r8_inf,le_aniso,le_hn,le_ht,n_cells_r0.5_1,n_cells_r0_0.5,n_cells_r1_2,n_cells_r2_4,n_cells_r4_8,n_cells_r8_inf,n_le_faces,n_tet,n_wall,tag
2.4,0.01,0.0123686,0.01229448,0.00658005,0.04857471,0.04599986,0.04669566,0.56655,0.014540685,0.006746666,42408,17414,90637,9424,17271,9901,3249,187055,15094,G00_base
1.8,0.01,0.01260375,0.01258912,0.00816186,0.05295486,0.0471567,0.04764417,0.56252,0.014762435,0.006723528,46872,19126,97655,10465,18390,10791,3262,203299,15134,G10_faronly
2.4,0.0075,0.01210228,0.01181478,0.0061423,0.04851061,0.04627401,0.04669672,0.57613,0.009581144,0.004984602,45731,20301,93469,9497,17008,9906,4223,195912,16076,G01_leonly
1.8,0.0075,0.01236529,0.012059,0.00743081,0.05192745,0.04681366,0.04710255,0.57868,0.009671266,0.004983224,49751,22151,100267,10636,18532,10728,4262,212065,16136,G11_both
