freeze_tol,dm,m_final,reached,gamma,m_max,n_limited,n_floored,res_final,wall_s,note
1e-05,0.05,0.7000000000000001,False,,232.66858362130617,9,2,8.482988017554684e-06,1425.8,
0.0001,0.05,0.7000000000000001,False,,232.66858378121836,9,2,8.482988017987497e-06,1399.3,
1e-06,0.05,0.6875,False,,76.46639042031953,7,1,4.332181244895948e-06,1428.8,
1e-05,0.025,0.7000000000000001,False,,232.66858372123158,9,2,8.482988018472352e-06,1108.2,
