accept_reason,band_LE_lower,band_LE_upper,band_MID_lower,band_MID_upper,band_TE_lower,band_TE_upper,band_pooled,converged,h_le,h_wall,le_aniso,le_hn,le_ht,m_max,n_floored,n_le_faces,n_limited,n_tet,res_final,s_ref,t_gen_s,tag,usable,wall_s
tol,0.215778,0.376369,0.041595,0.130872,0.046214,0.039302,0.203544,True,0.015,0.03,0.5009,0.02532771,0.0105516,1.56358,0,1493,0,59359,5.65645350232867e-12,0.760174,18.5,F1_00_base,True,186.6
,,,,,,,,False,0.015,0.02,0.5604,0.01914008,0.01008744,3.0,14,2457,4,183251,2.906146908321727e-06,0.760202,27.1,F1_10_bulkonly,False,1043.3
tol,0.158398,0.272519,0.03089,0.10997,0.041563,0.050586,0.152141,True,0.01,0.02,0.5665,0.01454069,0.00674667,2.20463,0,3249,0,187055,5.904777031743325e-15,0.760202,18.5,F2_00_base,True,58.7
,,,,,,,,False,0.01,0.015,0.5794,0.01355006,0.00680502,3.0,25,4604,46,439762,5.1841564253228675e-05,0.760217,39.0,F2_10_bulkonly,False,189.8
tol,0.138028,0.268294,0.031378,0.108678,0.03353,0.050543,0.148148,True,0.0075,0.02,0.5761,0.00958114,0.0049846,2.85894,0,4223,0,195912,1.7340884755609973e-12,0.760202,17.3,F2_01_leonly,True,60.3
,,,,,,,,False,0.0075,0.015,0.5683,0.00999557,0.00497909,3.0,202,5815,883,448197,0.02053172972724907,0.760217,38.3,F2_11_allscales,False,96.5
