level,form,r_c,leg,m_inf,converged,n_limited,n_floored,res_final,m_attained,m_max,cl_p,bias_pct,wall_s,note
coarse,none,0.0,bias,0.5,True,0,0,3.9113139539767775e-14,,,0.2089403688556524,0.0,2.1,
coarse,none,0.0,robust,0.84,True,0,0,2.815224784426817e-12,0.84,,0.26166632987069915,,12.8,
coarse,vanish_smooth,0.05,bias,0.5,True,0,0,6.049322830112234e-11,,,0.20647389052130127,-1.1804699818708104,1.6,
coarse,vanish_smooth,0.05,robust,0.84,True,0,0,2.8103456066014077e-12,0.84,,0.2589503798433928,,12.2,
coarse,vanish_linear,0.05,bias,0.5,True,0,0,6.034134711184645e-11,,,0.20612594891375471,-1.3469967327577759,1.7,
coarse,vanish_linear,0.05,robust,0.84,True,0,0,2.809146674089984e-12,0.84,,0.25846011524422335,,12.2,
coarse,vanish_smooth,0.025,bias,0.5,True,0,0,9.342453424441526e-11,,,0.2082353559197008,-0.33742303596614254,1.6,
coarse,vanish_smooth,0.025,robust,0.84,True,0,0,2.814296725366743e-12,0.84,,0.2609226677951701,,12.4,
coarse,vanish_linear,0.025,bias,0.5,True,0,0,8.18663807979905e-11,,,0.20818350840136912,-0.3622375409924527,1.6,
coarse,vanish_linear,0.025,robust,0.84,True,0,0,1.133044177755601e-11,0.84,,0.2608885238161359,,12.5,
medium,none,0.0,bias,0.5,True,0,0,2.5132076635416033e-11,,,0.2173402632184372,0.0,40.2,
medium,none,0.0,robust,0.84,True,0,0,2.0697183506900373e-14,0.84,,0.2767849025229606,,425.8,
medium,vanish_smooth,0.05,bias,0.5,True,0,0,1.991524905463582e-11,,,0.21404903754619847,-1.514319355052442,41.1,
medium,vanish_smooth,0.05,robust,0.84,True,0,0,1.8716209114544587e-14,0.84,,0.27316362362957763,,385.0,
medium,vanish_linear,0.05,bias,0.5,True,0,0,1.9861582172490017e-11,,,0.2136902019279655,-1.6794225038750419,41.4,
medium,vanish_linear,0.05,robust,0.84,True,0,0,1.5905584212796023e-14,0.84,,0.27281765714877,,341.7,
medium,vanish_smooth,0.025,bias,0.5,True,0,0,1.947941698396202e-12,,,0.2162216328774699,-0.5146908006838178,40.8,
medium,vanish_smooth,0.025,robust,0.84,True,0,0,1.5879623512178043e-14,0.84,,0.2755983899607117,,340.5,
medium,vanish_linear,0.025,bias,0.5,True,0,0,1.9450029258962106e-12,,,0.21608978223523553,-0.5753563397247131,40.5,
medium,vanish_linear,0.025,robust,0.84,True,0,0,1.578929059616056e-14,0.84,,0.27545856419141357,,391.2,
