h_med_r0.5_1,h_med_r0_0.5,h_med_r1_2,h_med_r2_4,h_med_r4_8,h_med_r8_inf,le_aniso,le_hn,le_ht,n_cells_r0.5_1,n_cells_r0_0.5,n_cells_r1_2,n_cells_r2_4,n_cells_r4_8,n_cells_r8_inf,n_le,n_tet,n_wall,r_far_mac,t_gen_s,tag
0.012368602,0.012294482,0.006580053,0.048574709,0.04599986,0.046695657,0.566546611,0.014540685,0.006746666,42408,17414,90637,9424,17271,9901,3249,187055,15094,15.0,29.036908041,R00_base
0.01305504,0.013024918,0.011010507,0.068862729,0.052067948,0.049385031,0.565931779,0.014757193,0.006746871,55404,22713,112815,13834,19218,54408,3248,278392,15088,30.0,39.511954032,R10_domain_x2
