converged,level,m_attained,n_nodes,note,path,pooled_rms,res_final,rms_eta0.20,rms_eta0.44,rms_eta0.65,rms_eta0.80,rms_eta0.90,status,wall_s
True,xcoarse_ss,0.8395,2461,,conforming,0.307583,1.0162542790799478e-11,0.270362,0.298891,0.326111,0.313628,0.321146,OK,0.9
True,coarse_ss,0.8395,11352,,conforming,0.207817,2.448434213914915e-13,0.139205,0.182942,0.241594,0.190528,0.249513,OK,3.2
True,coarse,0.8395,12978,,conforming,0.198871,6.861918635170361e-12,0.140233,0.17209,0.211768,0.182681,0.250489,OK,3.9
True,medium,0.8395,70663,,conforming,0.129358,4.3032543796239896e-11,0.097336,0.115764,0.139246,0.117374,0.157996,OK,41.7
True,xcoarse_ss,0.8395,1314,,level-set,0.312801,9.481304630298837e-14,0.253156,0.312815,0.322449,0.325535,0.335515,OK,1.7
True,coarse_ss,0.8395,7282,,level-set,0.213202,3.2819823247987046e-12,0.165994,0.191933,0.229014,0.194857,0.25664,OK,14.2
True,coarse,0.8395,9946,,level-set,0.203885,1.5557384373809935e-11,0.124724,0.176212,0.214585,0.200977,0.258217,OK,25.0
True,medium,0.8395,59399,,level-set,0.134946,8.593126210598712e-14,0.113167,0.116286,0.160723,0.110783,0.156725,OK,363.3
