amg_setup_s,case,cg_iters,cg_s,dim,dofs,info,inplane_max,inplane_min,inplane_ratio,level,rel_res,z_max,z_min
0.0916,2.5-D tets (medium),278,0.6131,2.5D,20712,0,1.92898026787902,0.0063088746153197464,305.75663418558133,medium,9.916604314595966e-09,0.02,0.02
0.0179,2-D tris (medium),14,0.0167,2D,10356,0,1.92898026787902,0.0063088746153197464,305.75663418558133,medium,3.3628133460300336e-09,,
0.0106,2.5-D tets (coarse),200,0.1511,2.5D,5518,0,3.5526970012745234,0.013951753656089695,254.6416091373455,coarse,9.494717499709146e-09,0.04,0.04
0.0072,2-D tris (coarse),12,0.0051,2D,2759,0,3.5526970012745234,0.013951753656089695,254.6416091373455,coarse,2.3917468309121154e-09,,
