re_theta,x,H,cf,cf_coles_fernholz,cf_power_law,band,corr_spread,dev,inside,H_ref_clauser,H_rel_to_ref
575.998787083207,5.5958488101950525,1.5129776905562722,0.004254537533317355,0.00467687629764384,0.004898982064586455,0.09277738184543677,0.046388690922718384,0.13154661984325933,0,1.4986021127861067,0.009592658149560007
620.3020235294786,5.803817988866833,1.497243919481684,0.004256026100998192,0.004590797696999884,0.004809062731478394,0.09288011716312021,0.046440058581560105,0.11499883893387852,0,1.4917353009304377,0.0036927587272423956
666.0195700269646,6.019516321907226,1.4878777460738988,0.004218885451641859,0.004510405822441511,0.004724322038400782,0.09265729068913132,0.04632864534456566,0.10698605697295294,0,1.4852914650935456,0.001741261591502008
712.940018602074,6.24323106258922,1.48109409300439,0.004169805798365982,0.004435406442808506,0.004644596530569474,0.09215419350601545,0.046077096753007724,0.10222432219430644,0,1.4792522344149084,0.001245128144227614
761.0139258902735,6.475260139925848,1.4755257444561642,0.004117992277574925,0.004365260192085977,0.0045694411741383995,0.09141032192716951,0.045705160963584755,0.09879739761582518,0,1.4735788799080398,0.001321181088212775
810.2524927824026,6.715912555433041,1.4706255053927768,0.0040667216409693,0.004299421706419857,0.004498380084313591,0.09045822246338514,0.04522911123169257,0.09595864183409875,0,1.4682313635863264,0.001630629794341365
860.6910732547352,6.965508794638121,1.4661519650418562,0.004017128786240264,0.004237401683065185,0.004430976197191836,0.08932444653458581,0.044662223267292904,0.09339869873682716,0,1.4631734342170941,0.002035664915113644
912.3752196711234,7.224381253881969,1.4619868506273392,0.0039695422213842195,0.004178776606669882,0.004366845948972963,0.08803072734772018,0.04401536367386009,0.09098185102732681,0,1.4583735506698878,0.0024776230724916637
965.355118854352,7.492874682983259,1.4580651983968724,0.003923982211925213,0.004123183523927958,0.004305657356326895,0.08659498262751388,0.04329749131375694,0.08864503438501314,0,1.4538045841472709,0.0029306650261393674
1019.6833267212471,7.771346644354261,1.4543469350820903,0.0038803545680997295,0.004070311468970278,0.004247123719026604,0.08503210235361452,0.04251605117680726,0.08635706779244334,0,1.4494432252850387,0.0033831679030320583
1075.4138573815371,8.060167989179643,1.4508046164030934,0.003838528092988985,0.004019893080886937,0.004190996852072691,0.08335455600198466,0.04167727800099233,0.08410141346429068,0,1.445269384518601,0.0038298963112237683
1132.6018473658369,8.359723351292407,1.4474178149155355,0.0037983657246939686,0.003971697352920151,0.004137061007456944,0.08157286094247485,0.04078643047123742,0.08186857340331355,0,1.441265666238153,0.004268573672083775
1191.3034695747615,8.670411659404683,1.4441703837947213,0.0037597366776222713,0.003925523618606057,0.004085127728626747,0.07969594636062798,0.03984797318031399,0.07965260149010289,1,1.4374169294274162,0.004698326719997148
1251.5759564899688,8.992646668375514,1.4410490269807763,0.0037225206446682775,0.0038811966351777537,0.004035031587226245,0.07773143862281147,0.038865719311405734,0.07744944142377652,1,1.4337099267833728,0.005118957510372502
1313.4776704809833,9.326857510223185,1.4380424936501182,0.0036866086827880558,0.0038385625759796878,0.0039866266736315725,0.07568588716713284,0.03784294358356642,0.07525610382028036,1,1.430133009570362,0.005530593327212507
1377.0681932865507,9.673489265615846,1.435141087813023,0.0036519027579447433,0.0037974857568530253,0.003939783707389661,0.07356494494304852,0.03678247247152426,0.073070242131555,1,1.4266758858926665,0.00593351440510248
1442.4084221301578,10.033003556601539,1.4323363467313137,0.003618314804040969,0.0037578459501374996,0.0038943876502010705,0.07137351377121037,0.035686756885605186,0.07088992441362318,1,1.4233294219169175,0.0063280676108457
