x_c,cp_incompressible,cp_pg,cp_kt,surface
0.795477,-0.014708,-0.016983,-0.017003,lower
0.792300,-0.016492,-0.019043,-0.019067,lower
0.789105,-0.018266,-0.021092,-0.021122,lower
0.785892,-0.020032,-0.023131,-0.023167,lower
0.782661,-0.021790,-0.025160,-0.025203,lower
0.779413,-0.023538,-0.027180,-0.027229,lower
0.776148,-0.025279,-0.029190,-0.029247,lower
0.772866,-0.027012,-0.031191,-0.031256,lower
0.769567,-0.028737,-0.033183,-0.033257,lower
0.766251,-0.030455,-0.035166,-0.035249,lower
0.762919,-0.032165,-0.037141,-0.037234,lower
0.759571,-0.033869,-0.039108,-0.039211,lower
0.756207,-0.035565,-0.041067,-0.041180,lower
0.752827,-0.037255,-0.043018,-0.043143,lower
0.749431,-0.038938,-0.044962,-0.045098,lower
0.746020,-0.040616,-0.046899,-0.047047,lower
0.742594,-0.042287,-0.048829,-0.048989,lower
0.739153,-0.043953,-0.050752,-0.050925,lower
0.735697,-0.045612,-0.052669,-0.052855,lower
0.732226,-0.047267,-0.054579,-0.054779,lower
0.728741,-0.048916,-0.056483,-0.056698,lower
0.725242,-0.050560,-0.058382,-0.058611,lower
0.721729,-0.052199,-0.060274,-0.060519,lower
0.718203,-0.053833,-0.062162,-0.062421,lower
0.714663,-0.055463,-0.064043,-0.064319,lower
0.711110,-0.057089,-0.065920,-0.066213,lower
0.707544,-0.058710,-0.067792,-0.068102,lower
0.703964,-0.060327,-0.069659,-0.069986,lower
0.700373,-0.061940,-0.071522,-0.071866,lower
0.696769,-0.063549,-0.073380,-0.073743,lower
0.693153,-0.065155,-0.075234,-0.075616,lower
0.689525,-0.066757,-0.077084,-0.077485,lower
0.685885,-0.068356,-0.078930,-0.079350,lower
0.682234,-0.069951,-0.080773,-0.081212,lower
0.678571,-0.071544,-0.082611,-0.083071,lower
0.674898,-0.073133,-0.084446,-0.084927,lower
0.671214,-0.074719,-0.086278,-0.086780,lower
0.667519,-0.076303,-0.088107,-0.088630,lower
0.663814,-0.077884,-0.089932,-0.090477,lower
0.660099,-0.079462,-0.091755,-0.092322,lower
0.656373,-0.081037,-0.093574,-0.094164,lower
0.652639,-0.082611,-0.095391,-0.096004,lower
0.648895,-0.084182,-0.097205,-0.097842,lower
0.645141,-0.085750,-0.099016,-0.099677,lower
0.641379,-0.087317,-0.100825,-0.101510,lower
0.637608,-0.088881,-0.102631,-0.103341,lower
0.633828,-0.090443,-0.104435,-0.105170,lower
0.630041,-0.092003,-0.106236,-0.106998,lower
0.626245,-0.093561,-0.108035,-0.108823,lower
0.622441,-0.095117,-0.109832,-0.110646,lower
0.618630,-0.096672,-0.111627,-0.112468,lower
0.614812,-0.098224,-0.113419,-0.114288,lower
0.610986,-0.099775,-0.115210,-0.116106,lower
0.607154,-0.101323,-0.116998,-0.117922,lower
0.603315,-0.102870,-0.118784,-0.119737,lower
0.599469,-0.104415,-0.120568,-0.121549,lower
0.595618,-0.105958,-0.122349,-0.123360,lower
0.591761,-0.107499,-0.124129,-0.125170,lower
0.587897,-0.109038,-0.125906,-0.126977,lower
0.584029,-0.110575,-0.127681,-0.128783,lower
0.580155,-0.112111,-0.129454,-0.130587,lower
0.576277,-0.113644,-0.131225,-0.132389,lower
0.572393,-0.115175,-0.132993,-0.134189,lower
0.568506,-0.116705,-0.134759,-0.135986,lower
0.564614,-0.118232,-0.136522,-0.137782,lower
0.560718,-0.119756,-0.138283,-0.139576,lower
0.556818,-0.121279,-0.140041,-0.141367,lower
0.552915,-0.122799,-0.141796,-0.143156,lower
0.549008,-0.124317,-0.143548,-0.144942,lower
0.545099,-0.125832,-0.145298,-0.146726,lower
0.541186,-0.127344,-0.147044,-0.148507,lower
0.537272,-0.128853,-0.148787,-0.150285,lower
0.533354,-0.130360,-0.150527,-0.152060,lower
0.529435,-0.131863,-0.152263,-0.153832,lower
0.525514,-0.133364,-0.153995,-0.155600,lower
0.521592,-0.134861,-0.155724,-0.157365,lower
0.517668,-0.136354,-0.157448,-0.159126,lower
0.513743,-0.137844,-0.159168,-0.160883,lower
0.509817,-0.139329,-0.160884,-0.162636,lower
0.505890,-0.140811,-0.162595,-0.164385,lower
0.501963,-0.142289,-0.164301,-0.166129,lower
0.498037,-0.143762,-0.166002,-0.167868,lower
0.494110,-0.145230,-0.167697,-0.169603,lower
0.490183,-0.146694,-0.169387,-0.171331,lower
0.486257,-0.148152,-0.171072,-0.173055,lower
0.482332,-0.149606,-0.172750,-0.174772,lower
0.478408,-0.151053,-0.174421,-0.176483,lower
0.474486,-0.152495,-0.176086,-0.178188,lower
0.470565,-0.153931,-0.177744,-0.179886,lower
0.466646,-0.155360,-0.179395,-0.181577,lower
0.462728,-0.156783,-0.181038,-0.183260,lower
0.458814,-0.158199,-0.182673,-0.184936,lower
0.454901,-0.159608,-0.184300,-0.186603,lower
0.450992,-0.161009,-0.185918,-0.188262,lower
0.447085,-0.162403,-0.187527,-0.189912,lower
0.443182,-0.163788,-0.189126,-0.191553,lower
0.439282,-0.165165,-0.190716,-0.193184,lower
0.435386,-0.166533,-0.192296,-0.194805,lower
0.431494,-0.167892,-0.193865,-0.196416,lower
0.427607,-0.169242,-0.195423,-0.198016,lower
0.423723,-0.170581,-0.196970,-0.199604,lower
0.419845,-0.171911,-0.198505,-0.201180,lower
0.415971,-0.173229,-0.200028,-0.202745,lower
0.412103,-0.174537,-0.201538,-0.204296,lower
0.408239,-0.175833,-0.203035,-0.205834,lower
0.404382,-0.177118,-0.204518,-0.207359,lower
0.400531,-0.178390,-0.205987,-0.208869,lower
0.396685,-0.179649,-0.207441,-0.210364,lower
0.392846,-0.180895,-0.208880,-0.211844,lower
0.389014,-0.182128,-0.210303,-0.213308,lower
0.385188,-0.183346,-0.211710,-0.214756,lower
0.381370,-0.184550,-0.213100,-0.216186,lower
0.377559,-0.185739,-0.214473,-0.217599,lower
0.373755,-0.186913,-0.215828,-0.218994,lower
0.369959,-0.188070,-0.217164,-0.220370,lower
0.366172,-0.189211,-0.218482,-0.221727,lower
0.362392,-0.190334,-0.219779,-0.223063,lower
0.358621,-0.191441,-0.221057,-0.224379,lower
0.354859,-0.192529,-0.222313,-0.225674,lower
0.351105,-0.193598,-0.223548,-0.226946,lower
0.347361,-0.194648,-0.224760,-0.228196,lower
0.343627,-0.195678,-0.225950,-0.229422,lower
0.339901,-0.196688,-0.227116,-0.230625,lower
0.336186,-0.197677,-0.228258,-0.231802,lower
0.332481,-0.198644,-0.229375,-0.232954,lower
0.328786,-0.199589,-0.230466,-0.234080,lower
0.325102,-0.200512,-0.231531,-0.235178,lower
0.321429,-0.201410,-0.232569,-0.236249,lower
0.317766,-0.202285,-0.233579,-0.237291,lower
0.314115,-0.203135,-0.234560,-0.238304,lower
0.310475,-0.203959,-0.235512,-0.239287,lower
0.306847,-0.204757,-0.236434,-0.240238,lower
0.303231,-0.205529,-0.237324,-0.241158,lower
0.299627,-0.206273,-0.238183,-0.242045,lower
0.296036,-0.206988,-0.239010,-0.242899,lower
0.292456,-0.207675,-0.239803,-0.243718,lower
0.288890,-0.208332,-0.240561,-0.244501,lower
0.285337,-0.208959,-0.241285,-0.245249,lower
0.281797,-0.209554,-0.241972,-0.245959,lower
0.278271,-0.210117,-0.242623,-0.246631,lower
0.274758,-0.210648,-0.243235,-0.247264,lower
0.271259,-0.211145,-0.243809,-0.247857,lower
0.267774,-0.211607,-0.244343,-0.248409,lower
0.264303,-0.212035,-0.244837,-0.248919,lower
0.260847,-0.212426,-0.245288,-0.249386,lower
0.257406,-0.212780,-0.245697,-0.249809,lower
0.253980,-0.213097,-0.246063,-0.250187,lower
0.250569,-0.213375,-0.246384,-0.250518,lower
0.247173,-0.213613,-0.246659,-0.250803,lower
0.243793,-0.213810,-0.246887,-0.251039,lower
0.240429,-0.213967,-0.247067,-0.251225,lower
0.237081,-0.214080,-0.247199,-0.251361,lower
0.233749,-0.214151,-0.247280,-0.251445,lower
0.230433,-0.214177,-0.247310,-0.251476,lower
0.227134,-0.214157,-0.247288,-0.251453,lower
0.223852,-0.214091,-0.247211,-0.251374,lower
0.220587,-0.213978,-0.247081,-0.251239,lower
0.217339,-0.213816,-0.246894,-0.251046,lower
0.214108,-0.213605,-0.246649,-0.250793,lower
0.210895,-0.213342,-0.246346,-0.250480,lower
0.207700,-0.213028,-0.245983,-0.250104,lower
0.204523,-0.212660,-0.245559,-0.249666,lower
0.201365,-0.212239,-0.245072,-0.249162,lower
0.198224,-0.211761,-0.244521,-0.248593,lower
0.195103,-0.211227,-0.243904,-0.247955,lower
0.192000,-0.210635,-0.243220,-0.247249,lower
0.188916,-0.209983,-0.242468,-0.246471,lower
0.185851,-0.209271,-0.241645,-0.245621,lower
0.182806,-0.208497,-0.240751,-0.244697,lower
0.179780,-0.207659,-0.239783,-0.243698,lower
0.176774,-0.206756,-0.238741,-0.242621,lower
0.173788,-0.205786,-0.237621,-0.241465,lower
0.170822,-0.204748,-0.236423,-0.240228,lower
0.167876,-0.203641,-0.235145,-0.238908,lower
0.164951,-0.202463,-0.233784,-0.237503,lower
0.162047,-0.201211,-0.232339,-0.236012,lower
0.159163,-0.199885,-0.230807,-0.234432,lower
0.156300,-0.198482,-0.229188,-0.232761,lower
0.153459,-0.197001,-0.227478,-0.230998,lower
0.150639,-0.195440,-0.225675,-0.229139,lower
0.147840,-0.193797,-0.223777,-0.227183,lower
0.145064,-0.192069,-0.221782,-0.225127,lower
0.142309,-0.190255,-0.219688,-0.222969,lower
0.139576,-0.188353,-0.217491,-0.220707,lower
0.136865,-0.186360,-0.215189,-0.218337,lower
0.134177,-0.184273,-0.212780,-0.215857,lower
0.131512,-0.182091,-0.210261,-0.213265,lower
0.128869,-0.179811,-0.207628,-0.210557,lower
0.126249,-0.177431,-0.204880,-0.207731,lower
0.123652,-0.174947,-0.202011,-0.204783,lower
0.121078,-0.172357,-0.199021,-0.201710,lower
0.118528,-0.169658,-0.195904,-0.198509,lower
0.116001,-0.166846,-0.192657,-0.195176,lower
0.113498,-0.163919,-0.189278,-0.191708,lower
0.111018,-0.160874,-0.185761,-0.188102,lower
0.108563,-0.157706,-0.182103,-0.184352,lower
0.106132,-0.154413,-0.178301,-0.180456,lower
0.103725,-0.150990,-0.174348,-0.176408,lower
0.101343,-0.147434,-0.170242,-0.172206,lower
0.098985,-0.143740,-0.165976,-0.167842,lower
0.096652,-0.139904,-0.161547,-0.163314,lower
0.094344,-0.135922,-0.156949,-0.158616,lower
0.092060,-0.131788,-0.152176,-0.153743,lower
0.089802,-0.127499,-0.147223,-0.148690,lower
0.087570,-0.123049,-0.142084,-0.143450,lower
0.085362,-0.118432,-0.136753,-0.138017,lower
0.083181,-0.113642,-0.131223,-0.132387,lower
0.081025,-0.108675,-0.125487,-0.126551,lower
0.078895,-0.103523,-0.119538,-0.120503,lower
0.076790,-0.098179,-0.113368,-0.114235,lower
0.074712,-0.092638,-0.106970,-0.107742,lower
0.072661,-0.086892,-0.100334,-0.101013,lower
0.070635,-0.080933,-0.093453,-0.094042,lower
0.068636,-0.074753,-0.086317,-0.086819,lower
0.066664,-0.068344,-0.078916,-0.079336,lower
0.064718,-0.061696,-0.071241,-0.071582,lower
0.062799,-0.054802,-0.063279,-0.063549,lower
0.060908,-0.047650,-0.055021,-0.055225,lower
0.059043,-0.040230,-0.046454,-0.046599,lower
0.057205,-0.032532,-0.037565,-0.037660,lower
0.055395,-0.024545,-0.028342,-0.028396,lower
0.053612,-0.016255,-0.018770,-0.018794,lower
0.051857,-0.007651,-0.008835,-0.008840,lower
0.050129,0.001280,0.001478,0.001478,lower
0.048429,0.010554,0.012186,0.012176,lower
0.046757,0.020183,0.023306,0.023269,lower
0.045113,0.030185,0.034854,0.034773,lower
0.043497,0.040574,0.046851,0.046705,lower
0.041910,0.051369,0.059316,0.059081,lower
0.040350,0.062587,0.072269,0.071921,lower
0.038819,0.074246,0.085732,0.085243,lower
0.037316,0.086367,0.099728,0.099066,lower
0.035842,0.098969,0.114279,0.113411,lower
0.034396,0.112074,0.129411,0.128299,lower
0.032979,0.125704,0.145150,0.143752,lower
0.031591,0.139882,0.161521,0.159792,lower
0.030232,0.154631,0.178553,0.176443,lower
0.028902,0.169978,0.196273,0.193726,lower
0.027601,0.185945,0.214711,0.211667,lower
0.026329,0.202561,0.233897,0.230289,lower
0.025086,0.219849,0.253860,0.249615,lower
0.023872,0.237838,0.274631,0.269670,lower
0.022688,0.256552,0.296241,0.290477,lower
0.021534,0.276019,0.318719,0.312056,lower
0.020408,0.296262,0.342094,0.334431,lower
0.019313,0.317307,0.366395,0.357618,lower
0.018247,0.339175,0.391646,0.381634,lower
0.017211,0.361886,0.417870,0.406492,lower
0.016204,0.385456,0.445086,0.432200,lower
0.015228,0.409896,0.473308,0.458762,lower
0.014281,0.435213,0.502541,0.486174,lower
0.013364,0.461405,0.532785,0.514425,lower
0.012477,0.488462,0.564028,0.543493,lower
0.011621,0.516363,0.596245,0.573345,lower
0.010794,0.545075,0.629398,0.603935,lower
0.009998,0.574545,0.663428,0.635199,lower
0.009232,0.604707,0.698256,0.667055,lower
0.008496,0.635469,0.733776,0.699398,lower
0.007791,0.666714,0.769855,0.732100,lower
0.007115,0.698295,0.806322,0.765002,lower
0.006471,0.730034,0.842970,0.797914,lower
0.005856,0.761711,0.879548,0.830610,lower
0.005272,0.793068,0.915756,0.862827,lower
0.004719,0.823801,0.951244,0.894260,lower
0.004196,0.853559,0.985605,0.924562,lower
0.003704,0.881941,1.018377,0.953342,lower
0.003243,0.908499,1.049045,0.980166,lower
0.002812,0.932741,1.077037,1.004560,lower
0.002411,0.954134,1.101739,1.026016,lower
0.002042,0.972115,1.122501,1.043999,lower
0.001703,0.986103,1.138653,1.057957,lower
0.001395,0.995517,1.149524,1.067335,lower
0.001118,0.999795,1.154463,1.071593,lower
0.000871,0.998414,1.152869,1.070219,lower
0.000655,0.990919,1.144215,1.062757,lower
0.000470,0.976942,1.128076,1.048820,lower
0.000316,0.956223,1.104152,1.028109,lower
0.000193,0.928629,1.072288,1.000427,lower
0.000100,0.894153,1.032479,0.965689,lower
0.000039,0.852920,0.984867,0.923913,lower
0.000008,0.805154,0.929712,0.875205,lower
0.000008,0.751205,0.867417,0.819783,upper
0.000039,0.691506,0.798483,0.757942,upper
0.000100,0.626887,0.723866,0.690389,upper
0.000193,0.558203,0.644557,0.617879,upper
0.000316,0.486365,0.561606,0.541244,upper
0.000470,0.412321,0.476108,0.461393,upper
0.000655,0.337022,0.389159,0.379272,upper
0.000871,0.261386,0.301823,0.295842,upper
0.001118,0.186275,0.215092,0.212037,upper
0.001395,0.112463,0.129862,0.128742,upper
0.001703,0.040626,0.046911,0.046764,upper
0.002042,-0.028674,-0.033110,-0.033184,upper
0.002411,-0.094987,-0.109681,-0.110493,upper
0.002812,-0.157973,-0.182412,-0.184668,upper
0.003243,-0.217398,-0.251030,-0.255324,upper
0.003704,-0.273122,-0.315374,-0.322180,upper
0.004196,-0.325083,-0.375373,-0.385055,upper
0.004719,-0.373291,-0.431039,-0.443855,upper
0.005272,-0.417811,-0.482446,-0.498558,upper
0.005856,-0.458751,-0.529720,-0.549208,upper
0.006471,-0.496254,-0.573024,-0.595898,upper
0.007115,-0.530484,-0.612550,-0.638760,upper
0.007791,-0.561622,-0.648505,-0.677957,upper
0.008496,-0.589858,-0.681109,-0.713671,upper
0.009232,-0.615383,-0.710583,-0.746097,upper
0.009998,-0.638390,-0.737149,-0.775440,upper
0.010794,-0.659066,-0.761023,-0.801904,upper
0.011621,-0.677591,-0.782414,-0.825690,upper
0.012477,-0.694137,-0.801521,-0.846998,upper
0.013364,-0.708869,-0.818531,-0.866016,upper
0.014281,-0.721939,-0.833623,-0.882928,upper
0.015228,-0.733489,-0.846961,-0.897904,upper
0.016204,-0.743654,-0.858698,-0.911106,upper
0.017211,-0.752555,-0.868976,-0.922686,upper
0.018247,-0.760306,-0.877926,-0.932783,upper
0.019313,-0.767011,-0.885668,-0.941527,upper
0.020408,-0.772764,-0.892311,-0.949039,upper
0.021534,-0.777654,-0.897958,-0.955429,upper
0.022688,-0.781760,-0.902699,-0.960798,upper
0.023872,-0.785154,-0.906618,-0.965239,upper
0.025086,-0.787903,-0.909792,-0.968838,upper
0.026329,-0.790067,-0.912290,-0.971671,upper
0.027601,-0.791699,-0.914175,-0.973810,upper
0.028902,-0.792851,-0.915505,-0.975319,upper
