x_c,cp,surface
0.462728,-0.069440,lower
0.458814,-0.070072,lower
0.454901,-0.070691,lower
0.450992,-0.071294,lower
0.447085,-0.071883,lower
0.443182,-0.072456,lower
0.439282,-0.073013,lower
0.435386,-0.073554,lower
0.431494,-0.074078,lower
0.427607,-0.074585,lower
0.423723,-0.075074,lower
0.419845,-0.075545,lower
0.415971,-0.075997,lower
0.412103,-0.076431,lower
0.408239,-0.076845,lower
0.404382,-0.077238,lower
0.400531,-0.077611,lower
0.396685,-0.077963,lower
0.392846,-0.078293,lower
0.389014,-0.078600,lower
0.385188,-0.078885,lower
0.381370,-0.079146,lower
0.377559,-0.079384,lower
0.373755,-0.079596,lower
0.369959,-0.079783,lower
0.366172,-0.079945,lower
0.362392,-0.080080,lower
0.358621,-0.080187,lower
0.354859,-0.080267,lower
0.351105,-0.080319,lower
0.347361,-0.080341,lower
0.343627,-0.080333,lower
0.339901,-0.080295,lower
0.336186,-0.080225,lower
0.332481,-0.080123,lower
0.328786,-0.079989,lower
0.325102,-0.079820,lower
0.321429,-0.079618,lower
0.317766,-0.079380,lower
0.314115,-0.079107,lower
0.310475,-0.078796,lower
0.306847,-0.078449,lower
0.303231,-0.078062,lower
0.299627,-0.077637,lower
0.296036,-0.077171,lower
0.292456,-0.076665,lower
0.288890,-0.076116,lower
0.285337,-0.075525,lower
0.281797,-0.074889,lower
0.278271,-0.074210,lower
0.274758,-0.073484,lower
0.271259,-0.072712,lower
0.267774,-0.071892,lower
0.264303,-0.071024,lower
0.260847,-0.070106,lower
0.257406,-0.069137,lower
0.253980,-0.068116,lower
0.250569,-0.067043,lower
0.247173,-0.065916,lower
0.243793,-0.064733,lower
0.240429,-0.063495,lower
0.237081,-0.062198,lower
0.233749,-0.060844,lower
0.230433,-0.059429,lower
0.227134,-0.057954,lower
0.223852,-0.056416,lower
0.220587,-0.054814,lower
0.217339,-0.053148,lower
0.214108,-0.051416,lower
0.210895,-0.049615,lower
0.207700,-0.047746,lower
0.204523,-0.045807,lower
0.201365,-0.043795,lower
0.198224,-0.041710,lower
0.195103,-0.039551,lower
0.192000,-0.037314,lower
0.188916,-0.035000,lower
0.185851,-0.032606,lower
0.182806,-0.030131,lower
0.179780,-0.027573,lower
0.176774,-0.024929,lower
0.173788,-0.022200,lower
0.170822,-0.019381,lower
0.167876,-0.016473,lower
0.164951,-0.013472,lower
0.162047,-0.010377,lower
0.159163,-0.007185,lower
0.156300,-0.003895,lower
0.153459,-0.000504,lower
0.150639,0.002990,lower
0.147840,0.006589,lower
0.145064,0.010295,lower
0.142309,0.014111,lower
0.139576,0.018040,lower
0.136865,0.022085,lower
0.134177,0.026246,lower
0.131512,0.030529,lower
0.128869,0.034935,lower
0.126249,0.039467,lower
0.123652,0.044128,lower
0.121078,0.048922,lower
0.118528,0.053852,lower
0.116001,0.058921,lower
0.113498,0.064132,lower
0.111018,0.069490,lower
0.108563,0.074998,lower
0.106132,0.080659,lower
0.103725,0.086478,lower
0.101343,0.092459,lower
0.098985,0.098606,lower
0.096652,0.104923,lower
0.094344,0.111416,lower
0.092060,0.118089,lower
0.089802,0.124946,lower
0.087570,0.131993,lower
0.085362,0.139236,lower
0.083181,0.146679,lower
0.081025,0.154329,lower
0.078895,0.162191,lower
0.076790,0.170271,lower
0.074712,0.178576,lower
0.072661,0.187113,lower
0.070635,0.195887,lower
0.068636,0.204906,lower
0.066664,0.214178,lower
0.064718,0.223709,lower
0.062799,0.233508,lower
0.060908,0.243582,lower
0.059043,0.253940,lower
0.057205,0.264589,lower
0.055395,0.275539,lower
0.053612,0.286799,lower
0.051857,0.298377,lower
0.050129,0.310283,lower
0.048429,0.322525,lower
0.046757,0.335115,lower
0.045113,0.348060,lower
0.043497,0.361371,lower
0.041910,0.375057,lower
0.040350,0.389128,lower
0.038819,0.403593,lower
0.037316,0.418460,lower
0.035842,0.433739,lower
0.034396,0.449438,lower
0.032979,0.465563,lower
0.031591,0.482122,lower
0.030232,0.499118,lower
0.028902,0.516557,lower
0.027601,0.534439,lower
0.026329,0.552764,lower
0.025086,0.571529,lower
0.023872,0.590728,lower
0.022688,0.610351,lower
0.021534,0.630384,lower
0.020408,0.650806,lower
0.019313,0.671591,lower
0.018247,0.692705,lower
0.017211,0.714107,lower
0.016204,0.735743,lower
0.015228,0.757551,lower
0.014281,0.779451,lower
0.013364,0.801351,lower
0.012477,0.823140,lower
0.011621,0.844688,lower
0.010794,0.865840,lower
0.009998,0.886417,lower
0.009232,0.906210,lower
0.008496,0.924982,lower
0.007791,0.942458,lower
0.007115,0.958328,lower
0.006471,0.972244,lower
0.005856,0.983816,lower
0.005272,0.992616,lower
0.004719,0.998176,lower
0.004196,0.999994,lower
0.003704,0.997536,lower
0.003243,0.990251,lower
0.002812,0.977574,lower
0.002411,0.958950,lower
0.002042,0.933850,lower
0.001703,0.901789,lower
0.001395,0.862357,lower
0.001118,0.815240,lower
0.000871,0.760246,lower
0.000655,0.697325,lower
0.000470,0.626587,lower
0.000316,0.548303,lower
0.000193,0.462907,lower
0.000100,0.370965,lower
0.000039,0.273138,lower
0.000008,0.170085,lower
0.000008,0.062450,upper
0.000039,-0.048903,upper
0.000100,-0.162266,upper
0.000193,-0.276140,upper
0.000316,-0.389124,upper
0.000470,-0.499904,upper
0.000655,-0.607284,upper
0.000871,-0.710219,upper
0.001118,-0.807836,upper
0.001395,-0.899448,upper
0.001703,-0.984559,upper
0.002042,-1.062852,upper
0.002411,-1.134179,upper
0.002812,-1.198541,upper
0.003243,-1.256059,upper
0.003704,-1.306961,upper
0.004196,-1.351547,upper
0.004719,-1.390176,upper
0.005272,-1.423243,upper
0.005856,-1.451162,upper
0.006471,-1.474357,upper
0.007115,-1.493244,upper
0.007791,-1.508229,upper
0.008496,-1.519702,upper
0.009232,-1.528026,upper
0.009998,-1.533545,upper
0.010794,-1.536574,upper
0.011621,-1.537403,upper
0.012477,-1.536297,upper
0.013364,-1.533496,upper
0.014281,-1.529215,upper
0.015228,-1.523650,upper
0.016204,-1.516976,upper
0.017211,-1.509346,upper
0.018247,-1.500901,upper
0.019313,-1.491762,upper
0.020408,-1.482040,upper
0.021534,-1.471829,upper
0.022688,-1.461215,upper
0.023872,-1.450272,upper
0.025086,-1.439066,upper
0.026329,-1.427654,upper
0.027601,-1.416088,upper
0.028902,-1.404409,upper
0.030232,-1.392657,upper
0.031591,-1.380866,upper
0.032979,-1.369062,upper
0.034396,-1.357272,upper
0.035842,-1.345517,upper
0.037316,-1.333814,upper
0.038819,-1.322180,upper
0.040350,-1.310627,upper
0.041910,-1.299168,upper
0.043497,-1.287809,upper
0.045113,-1.276561,upper
0.046757,-1.265428,upper
0.048429,-1.254416,upper
0.050129,-1.243528,upper
0.051857,-1.232768,upper
0.053612,-1.222138,upper
0.055395,-1.211638,upper
0.057205,-1.201271,upper
0.059043,-1.191035,upper
0.060908,-1.180931,upper
0.062799,-1.170958,upper
0.064718,-1.161115,upper
0.066664,-1.151401,upper
0.068636,-1.141814,upper
0.070635,-1.132352,upper
0.072661,-1.123014,upper
0.074712,-1.113797,upper
0.076790,-1.104700,upper
0.078895,-1.095720,upper
0.081025,-1.086854,upper
0.083181,-1.078101,upper
0.085362,-1.069457,upper
0.087570,-1.060920,upper
0.089802,-1.052488,upper
0.092060,-1.044159,upper
0.094344,-1.035929,upper
0.096652,-1.027797,upper
0.098985,-1.019759,upper
0.101343,-1.011814,upper
0.103725,-1.003959,upper
0.106132,-0.996191,upper
0.108563,-0.988509,upper
0.111018,-0.980910,upper
0.113498,-0.973392,upper
0.116001,-0.965953,upper
0.118528,-0.958590,upper
0.121078,-0.951301,upper
0.123652,-0.944085,upper
0.126249,-0.936939,upper
0.128869,-0.929862,upper
0.131512,-0.922852,upper
0.134177,-0.915906,upper
0.136865,-0.909024,upper
0.139576,-0.902203,upper
0.142309,-0.895441,upper
0.145064,-0.888738,upper
0.147840,-0.882091,upper
0.150639,-0.875500,upper
0.153459,-0.868962,upper
0.156300,-0.862476,upper
0.159163,-0.856041,upper
0.162047,-0.849656,upper
0.164951,-0.843318,upper
0.167876,-0.837028,upper
0.170822,-0.830784,upper
0.173788,-0.824585,upper
0.176774,-0.818429,upper
0.179780,-0.812315,upper
0.182806,-0.806244,upper
0.185851,-0.800213,upper
0.188916,-0.794221,upper
0.192000,-0.788269,upper
0.195103,-0.782354,upper
0.198224,-0.776477,upper
0.201365,-0.770636,upper
0.204523,-0.764830,upper
0.207700,-0.759059,upper
0.210895,-0.753323,upper
0.214108,-0.747620,upper
0.217339,-0.741950,upper
0.220587,-0.736312,upper
0.223852,-0.730705,upper
0.227134,-0.725130,upper
0.230433,-0.719585,upper
0.233749,-0.714071,upper
0.237081,-0.708586,upper
0.240429,-0.703130,upper
0.243793,-0.697703,upper
0.247173,-0.692304,upper
0.250569,-0.686933,upper
0.253980,-0.681590,upper
0.257406,-0.676274,upper
0.260847,-0.670984,upper
0.264303,-0.665721,upper
0.267774,-0.660484,upper
0.271259,-0.655274,upper
0.274758,-0.650088,upper
0.278271,-0.644928,upper
0.281797,-0.639794,upper
0.285337,-0.634684,upper
0.288890,-0.629599,upper
0.292456,-0.624538,upper
0.296036,-0.619501,upper
0.299627,-0.614489,upper
0.303231,-0.609501,upper
0.306847,-0.604536,upper
0.310475,-0.599595,upper
0.314115,-0.594677,upper
0.317766,-0.589782,upper
0.321429,-0.584911,upper
0.325102,-0.580063,upper
0.328786,-0.575237,upper
0.332481,-0.570435,upper
0.336186,-0.565655,upper
0.339901,-0.560897,upper
0.343627,-0.556162,upper
0.347361,-0.551450,upper
0.351105,-0.546760,upper
0.354859,-0.542092,upper
0.358621,-0.537446,upper
0.362392,-0.532822,upper
0.366172,-0.528220,upper
0.369959,-0.523640,upper
0.373755,-0.519082,upper
0.377559,-0.514546,upper
0.381370,-0.510031,upper
0.385188,-0.505538,upper
0.389014,-0.501067,upper
0.392846,-0.496617,upper
0.396685,-0.492189,upper
0.400531,-0.487781,upper
0.404382,-0.483396,upper
0.408239,-0.479031,upper
0.412103,-0.474688,upper
0.415971,-0.470365,upper
0.419845,-0.466064,upper
0.423723,-0.461784,upper
0.427607,-0.457524,upper
0.431494,-0.453286,upper
0.435386,-0.449068,upper
0.439282,-0.444871,upper
0.443182,-0.440694,upper
0.447085,-0.436538,upper
0.450992,-0.432402,upper
0.454901,-0.428287,upper
0.458814,-0.424192,upper
0.462728,-0.420117,upper
0.466646,-0.416063,upper
0.470565,-0.412028,upper
0.474486,-0.408013,upper
0.478408,-0.404018,upper
0.482332,-0.400043,upper
0.486257,-0.396087,upper
0.490183,-0.392150,upper
0.494110,-0.388233,upper
0.498037,-0.384336,upper
0.501963,-0.380457,upper
0.505890,-0.376597,upper
0.509817,-0.372757,upper
0.513743,-0.368935,upper
0.517668,-0.365131,upper
0.521592,-0.361346,upper
0.525514,-0.357579,upper
0.529435,-0.353831,upper
