section,leg,clamp,cls,count,elem,x,y,z,dist_tip_edge,dist_tip_te,mach,q_lo,q_hi,z_mid,n_elem,delta_mean,delta_max,m2_main_max,m2_side_max,ratio,station,gamma,taper_f,gamma_eff
clamp_cells,LS,limited,cap_wall,,35339,1.1382637715314026,0.0002777977051737184,1.19708956367095,0.005516009639603953,0.005516009639603953,3.3667321422403176,,,,,,,,,,,,,
clamp_cells,LS,limited,cap_wall,,35359,1.1394925183472542,-0.000279218252739972,1.1979763453618406,0.00455248365219602,0.00455248365219602,3.983667706019492,,,,,,,,,,,,,
clamp_cells,LS,limited,cap_wall,,35377,1.1412341141485665,-0.0003142759741023637,1.1971867816908905,0.002654137595500171,0.002654137595500171,3.572405789853543,,,,,,,,,,,,,
clamp_cells,LS,limited,cap_wall,,419450,1.1354808585834821,0.0003991466299752487,1.19708956367095,0.008282436203435307,0.008282436203435307,3.1423501036773134,,,,,,,,,,,,,
clamp_cells,LS,limited,cap_wall,,427620,1.1373361342752353,-8.632432228823958e-05,1.19708956367095,0.0064290249119832825,0.0064290249119832825,3.338311401043731,,,,,,,,,,,,,
clamp_cells,LS,floored,cap_wall,,38083,1.1317694440793422,-0.002084389397850332,1.1988950259187932,0.01240148428261243,0.01240148428261243,1.0035634448139952,,,,,,,,,,,,,
clamp_cells,CONF,floored,cap_wall,,343440,1.1435153931009234,0.002579649183083288,1.1976098953622831,0.002900107161514548,0.002900107161514548,1.1139793239477105,,,,,,,,,,,,,
clamp_cells,CONF,floored,cap_wall,,387417,1.1343470560924007,0.003232165310673995,1.1975223581890384,0.009985810805353273,0.009985810805353273,0.8400766798384264,,,,,,,,,,,,,
clamp_owner,CONF,floored,cap_wall,2,,,,,,,,,,,,,,,,,,,,
clamp_owner,LS,floored,cap_wall,1,,,,,,,,,,,,,,,,,,,,
clamp_owner,LS,limited,cap_wall,5,,,,,,,,,,,,,,,,,,,,
ring_profile,LS,,,,,,,,,,,0.9240921831257367,0.9376817740540564,1.0458943749999998,362,0.06465301183304711,0.07739202119568311,0.6391432217976037,,,,,,
ring_profile,LS,,,,,,,,,,,0.9376817740540564,0.9512713649823761,1.0589731249999998,340,0.06429381762642743,0.07740526381511081,0.6528557784280684,,,,,,
ring_profile,LS,,,,,,,,,,,0.9512713649823761,0.9648609559106958,1.0720518749999999,339,0.06335766004163258,0.0775178362953235,0.6553659363279116,,,,,,
ring_profile,LS,,,,,,,,,,,0.9648609559106958,0.9784505468390153,1.085130625,347,0.06247723604092306,0.07727508038766251,0.6656662502520655,,,,,,
ring_profile,LS,,,,,,,,,,,0.9784505468390153,0.992040137767335,1.098209375,356,0.06140272786805715,0.07714558174554975,0.7312626264089838,,,,,,
ring_profile,LS,,,,,,,,,,,0.992040137767335,1.0056297286956548,1.111288125,347,0.05981694554063553,0.07738719396272487,0.7131996952812207,,,,,,
ring_profile,LS,,,,,,,,,,,1.0056297286956548,1.0192193196239743,1.1243668749999998,316,0.059287913526156734,0.0774756836447561,0.7538920846791969,,,,,,
ring_profile,LS,,,,,,,,,,,1.0192193196239743,1.032808910552294,1.1374456249999998,347,0.05756449241447172,0.07736970383154818,0.8236736934242191,,,,,,
ring_profile,LS,,,,,,,,,,,1.032808910552294,1.0463985014806136,1.1505243749999998,330,0.05695187734731359,0.07757594569623105,0.8996766639310474,,,,,,
ring_profile,LS,,,,,,,,,,,1.0463985014806136,1.0599880924089333,1.1636031249999998,349,0.055325406898802325,0.07757451348958622,1.189579141692396,,,,,,
ring_profile,LS,,,,,,,,,,,1.0599880924089333,1.073577683337253,1.1766818749999999,350,0.04995466735671692,0.07750595904484436,1.5066538060090018,,,,,,
ring_profile,LS,,,,,,,,,,,1.073577683337253,1.0871672742655727,1.189760625,346,0.04511506073183469,0.07741105928968128,3.5401738977180783,,,,,,
straddler,LS,,straddler,,,,,,,,,,,,4036,,,1.2224680779498889,1.8786969572675942,1.5368065564691213,,,,
straddler,LS,,beyond_tip,,,,,,,,,,,,2274,,,4.221287751988862,32.40531406999293,7.676641814982917,,,,
gamma,CONF,,,,,,,0.1499999999999982,,,,,,,,,,,,,0,0.10528639509054251,1.0,0.10528639509054251
gamma,CONF,,,,,,,0.15718463901438967,,,,,,,,,,,,,1,0.10525972035123024,1.0,0.10525972035123024
