leg,h,upwind_c,m_crit,converged,reason,n_newton,residual,r_exact,rms,rms_sup,rms_sub,n_sup,n_cell,m_num_max,m_ex_max
C=1.5,0.08,1.5,0.95,True,tol,11,1.741e-13,8.716e-05,0.059488,0.100136,0.046829,469,2730,1.2182,1.2464
C=0.5,0.08,0.5,0.95,True,tol,6,3.181e-12,6.509e-05,0.026830,0.047738,0.019911,469,2730,1.2676,1.2464
C=0.25,0.08,0.25,0.95,True,tol,8,7.658e-12,6.543e-05,0.020538,0.037580,0.014709,469,2730,1.2974,1.2464
C=0.0,0.08,0.0,0.95,False,cap,60,2.460e-07,6.577e-05,0.019173,0.040450,0.010220,469,2730,1.3102,1.2464
m_crit=1.20,0.08,1.5,1.2,True,tol,37,2.287e-13,6.577e-05,0.015098,0.029294,0.009861,469,2730,1.2747,1.2464
