metric,value
n_nodes,1234
n_elements,3480
total_volume,55.44688281183906
min_volume,1.0039185302714792e-05
max_volume,0.4247797204780175
mean_volume,0.015933012302252605
min_edge_length,0.021955965573944226
max_edge_length,6.8491090817832445
mean_edge_length,0.48191454962585806
n_2d_triangles,1160
dz,0.08
h_wall,0.04
h_wake_target,0.12
corridor_alpha_deg,-6.0..6.0
corridor_n_triangles,9
corridor_median_edge,0.17875581371150942
corridor_p90_edge,0.377620385312991
