metric,value
n_nodes,49522
n_elements,147738
total_volume,14.114262264731074
min_volume,1.486282235494494e-07
max_volume,0.008573476965355039
mean_volume,9.553576104137781e-05
min_edge_length,0.006574199196998184
max_edge_length,2.018760823335694
mean_edge_length,0.055660388520257634
n_2d_triangles,49246
dz,0.02
h_wall,0.01
h_wake_target,0.03
corridor_alpha_deg,-6.0..6.0
corridor_n_triangles,646
corridor_median_edge,0.029999999979615395
corridor_p90_edge,0.03001851577394084
