level,h_wall,max_cp_err_uncorrected,mean_cp_err_uncorrected,max_cp_err_corrected,mean_cp_err_corrected,max_rhs,spanwise_floor_uncorrected,spanwise_floor_corrected,n_cg_iterations,residual_norm
coarse,0.1,9.097870113e-02,4.506079623e-02,9.097870113e-02,4.506079623e-02,1.458e-17,2.882146656e-02,2.882146656e-02,102,2.983e-11
medium,0.05,4.490280149e-02,2.243090235e-02,4.490280149e-02,2.243090235e-02,6.417e-18,1.503645043e-02,1.503645043e-02,168,1.657e-11
fine,0.025,2.221939237e-02,1.113381708e-02,2.221939237e-02,1.113381708e-02,2.955e-18,7.399323549e-03,7.399323549e-03,285,7.353e-12
slope_uncorrected,,1.016854737e+00,,,,,,,,
slope_corrected,,1.016854737e+00,,,,,,,,
