iter,rung,wall_step,t_assembly,t_setup,t_linsolve,t_residual_share,n_inner,info,rel_res,lam,accepted,merit,f_phi_max,f_gamma_max,f_bl_max,ds_change
1,3,19.83,1.34,2.21,13.28,2.99,242,5,6.641e-01,0.0001,True,9.385259e-09,4.914e-05,1.999e-07,2.874e-06,3.553e-05
2,4,25.06,1.34,2.15,18.22,3.36,300,5,6.823e-01,0.0000,True,9.385044e-09,4.914e-05,2.071e-07,2.874e-06,8.221e-06
3,4,25.06,1.34,2.23,18.32,3.18,300,5,7.629e-01,0.0001,True,9.384570e-09,4.914e-05,2.340e-07,2.874e-06,5.063e-06
4,4,25.62,1.34,2.17,18.34,3.78,300,5,8.618e-01,0.0000,True,9.384565e-09,4.914e-05,2.422e-07,2.874e-06,2.722e-06
5,4,23.84,1.34,2.14,16.01,4.36,265,5,1.061e+00,0.0000,True,9.384564e-09,4.914e-05,2.432e-07,2.874e-06,2.115e-07
