section,name_or_node,x_c,side,regime,region,energy_fraction
node,194,0.801688,-1,turbulent,mid,2.03848186e-03
node,195,0.821553,-1,turbulent,mid,2.03799511e-03
node,196,0.841411,-1,turbulent,mid,1.95393018e-03
node,197,0.861262,-1,turbulent,mid,1.85741775e-03
node,198,0.881106,-1,turbulent,mid,1.86888117e-03
node,199,0.900943,-1,turbulent,te_band,1.70780678e-03
node,200,0.920772,-1,turbulent,te_band,1.49244124e-03
node,201,0.940593,-1,turbulent,te_band,1.46863912e-03
node,202,0.960405,-1,turbulent,te_band,1.50173473e-03
node,203,0.980207,-1,turbulent,te_band,9.76880683e-04
node,204,1.000000,1,turbulent,te_band,2.45398047e-02
node,205,1.000000,1,turbulent,te_band,2.70257842e-03
