state,arm,eta,foot,j1,d,sat
W M0.76,P0,0.2,0.13970839176678512,0.09665157376317704,0.04305681800360808,0
W M0.76,P0,0.44,0.19642665781655244,0.17779935827254914,0.0186272995440033,0
W M0.76,P0,0.65,0.23954803179074832,0.22080039520713624,0.018747636583612087,0
W M0.76,P0,0.8,0.9783472120176484,0.19837389285581794,0.7799733191618304,1
W M0.76,P0,0.9,0.2506719044554258,0.18512968070615557,0.06554222374927024,0
W M0.76,P0,0.96,0.9856717028026137,0.14893793943010655,0.8367337633725072,1
W M0.76,P0,0.99,0.9785004028722927,0.08296773969575051,0.8955326631765421,1
W M0.76,P1,0.44,0.23006894584466106,0.17779935827254914,0.05226958757211192,0
W M0.76,P1,0.65,0.20234678999021552,0.22080039520713624,-0.018453605216920715,0
W M0.76,P1,0.8,0.21445345855822417,0.19837389285581794,0.016079565702406234,0
W M0.76,P1,0.9,0.21397731049088595,0.18512968070615557,0.028847629784730378,0
W M0.76,P1,0.96,0.17447455675457713,0.14893793943010655,0.025536617324470573,0
W M0.76,P1,0.99,0.9692655512600036,0.08296773969575051,0.886297811564253,1
W M0.76,P2,0.44,0.1957220126902602,0.17779935827254914,0.01792265441771107,0
W M0.76,P2,0.65,0.2049208356173386,0.22080039520713624,-0.015879559589797643,0
W M0.76,P2,0.8,0.2327824732053585,0.19837389285581794,0.03440858034954056,0
W M0.76,P2,0.9,0.22957780078478493,0.18512968070615557,0.04444812007862936,0
W M0.76,P2,0.96,0.1722471416456167,0.14893793943010655,0.02330920221551014,0
W M0.76,P2,0.99,0.13302799654908362,0.08296773969575051,0.05006025685333311,0
W M0.76,P3,0.44,0.19642665781655244,0.17779935827254914,0.0186272995440033,0
W M0.76,P3,0.65,0.2120284922507321,0.22080039520713624,-0.008771902956404148,0
W M0.76,P3,0.8,0.20065445610080168,0.19837389285581794,0.002280563244983741,0
W M0.76,P3,0.9,0.18633056684093277,0.18512968070615557,0.0012008861347772015,0
W M0.76,P3,0.96,0.1722471416456167,0.14893793943010655,0.02330920221551014,0
W M0.76,P3,0.99,0.13620219923635102,0.08296773969575051,0.05323445954060051,0
W M0.76,S1,0.2,0.11172510869091917,0.09665157376317704,0.015073534927742133,0
W M0.76,S1,0.44,0.19642665781655244,0.17779935827254914,0.0186272995440033,0
W M0.76,S1,0.65,0.2120284922507321,0.22080039520713624,-0.008771902956404148,0
W M0.76,S1,0.8,0.1995043715365141,0.19837389285581794,0.0011304786806961564,0
W M0.76,S1,0.9,0.2506719044554258,0.18512968070615557,0.06554222374927024,0
W M0.76,S1,0.96,0.9856717028026137,0.14893793943010655,0.8367337633725072,1
W M0.76,S1,0.99,0.9753346931603681,0.08296773969575051,0.8923669534646176,1
W M0.76,S2,0.44,0.1957220126902602,0.17779935827254914,0.01792265441771107,0
