n_newton_max,blas_threads,cl,converged,residual,n_steps,descent10,accept_reason,mode
80,1,3.400965230778181e-01,0,1.098490443475904e-06,80,1.0314,None,stalled
80,8,3.401143202632300e-01,0,9.908574465717508e-07,80,1.1689,None,stalled
80,16,3.413398479398910e-01,1,2.854995790643492e-13,62,3.31e+07,tol,converged
200,1,3.413415110709902e-01,0,1.490392315346043e-12,200,1.27e+08,None,budget_limited
200,8,3.401034661476084e-01,0,9.247610341415871e-07,200,1.1661,None,budget_limited_MISREAD_AS_stalled
200,16,3.413398479398910e-01,1,2.854995790643492e-13,62,3.31e+07,tol,converged
400,1,3.413401232365215e-01,1,2.249827829055316e-13,203,4.20e+07,tol,converged
400,8,3.413458771588299e-01,1,3.279158534684694e-13,267,2.88e+07,tol,converged
