tag,numba_threads,blas_threads,cl,cd,cp_rms_upper,x_shock,residual,converged
A_n8_b8,8,8,3.401143202632300e-01,1.804811132545292e-02,1.764929193808090e-01,5.770085690979180e-01,9.908574465717508e-07,0
A_n8_b8_repeat,8,8,3.401143202632300e-01,1.804811132545292e-02,1.764929193808090e-01,5.770085690979180e-01,9.908574465717508e-07,0
E_n1_b8,1,8,3.401143202632300e-01,1.804811132545292e-02,1.764929193808090e-01,5.770085690979180e-01,9.908574465717508e-07,0
C_n8_b1,8,1,3.400965230778181e-01,1.804609881288233e-02,1.772559822691464e-01,5.760375277249122e-01,1.098490443475904e-06,0
D_n16_b1,16,1,3.400965230778181e-01,1.804609881288233e-02,1.772559822691464e-01,5.760375277249122e-01,1.098490443475904e-06,0
G_n1_b1,1,1,3.400965230778181e-01,1.804609881288233e-02,1.772559822691464e-01,5.760375277249122e-01,1.098490443475904e-06,0
G_n1_b1_repeat,1,1,3.400965230778181e-01,1.804609881288233e-02,1.772559822691464e-01,5.760375277249122e-01,1.098490443475904e-06,0
B_n16_b16,16,16,3.413398479398910e-01,1.817489129537782e-02,1.573538716879766e-01,5.990941588320295e-01,2.854995790643492e-13,1
F_n1_b16,1,16,3.413398479398910e-01,1.817489129537782e-02,1.573538716879766e-01,5.990941588320295e-01,2.854995790643492e-13,1
