level,n_nodes,arm,n_picard_seed,entropy_correction,mach,cl,cl_over_alpha0_baseline,cd_pressure,x_shock_upper,x_shock_lower,dx_shock,converged,residual,n_limited,n_floored,n_threads,wall_s
coarse,6106,cold,5,1,0.78,-0.00219243998444932,1.83,0.0049491090729366985,0.3927719050648411,0.39883155885131927,-0.0060596537864781586,1,5.784309784313559e-11,0,0,8,1.55
coarse,6106,cold,5,1,0.8,-0.005895523552751836,4.91,0.007146210146680256,0.46040444124783403,0.47332874902402317,-0.012924307776189137,1,4.1827157227991843e-13,0,0,8,1.5
coarse,6106,cold,5,1,0.82,-0.012359005102331599,10.3,0.012099095839066681,0.5394769272195888,0.5551666509785169,-0.015689723758928076,1,2.7862513401728073e-12,0,0,8,1.58
coarse,6106,cold,5,1,0.83,-0.009467843393013407,7.89,0.015800577156026046,0.590492858882175,0.5950658942696784,-0.004573035387503421,1,3.1277178223451907e-13,0,0,8,1.58
coarse,6106,cold,5,1,0.84,-0.006166341611954845,5.14,0.02064750404989311,0.6332618035734836,0.6339953336705987,-0.000733530097115076,1,1.2434358701625786e-11,0,0,8,1.57
coarse,6106,cold,5,1,0.85,-0.012957224949126663,10.8,0.026265795463499476,0.6711560837343706,0.6739885500779828,-0.0028324663436121167,1,3.9376447951103017e-13,0,0,8,1.72
coarse,6106,cold,5,1,0.86,0.06146441738358688,51.22,0.03373742232666968,0.747054065029067,0.6875988057229181,0.05945525930614892,1,3.959522485520149e-13,0,0,8,1.92
coarse,6106,ramp,0,1,0.78,-0.00219243998444932,1.83,0.0049491090729366985,0.3927719050648411,0.39883155885131927,-0.0060596537864781586,1,5.784309784313559e-11,0,0,8,1.4
coarse,6106,ramp,0,1,0.8,-0.0058960451661365185,4.91,0.007146199094722161,0.46040419172108626,0.47332936371283546,-0.012925171991749196,1,3.052938677557667e-13,0,0,8,0.35
coarse,6106,ramp,0,1,0.82,-0.012152267252792039,10.13,0.01211060733412062,0.53921962814417,0.555102345382067,-0.015882717237897026,1,3.7078073806682206e-13,0,0,8,0.37
coarse,6106,ramp,0,1,0.83,-0.008994679271110041,7.5,0.015801269058626978,0.5906828816700259,0.5947983266646212,-0.004115444994595263,1,3.837767361821227e-13,0,0,8,0.36
coarse,6106,ramp,0,1,0.84,-0.00594328453517423,4.95,0.02064919080073296,0.633365489297917,0.6338899100584902,-0.0005244207605731299,1,2.7981904178854753e-13,0,0,8,0.33
coarse,6106,ramp,0,1,0.85,-0.0034843872054730707,2.9,0.026314305381568547,0.6746356223170782,0.6709631115343968,0.003672510782681382,1,3.470664688969496e-13,0,0,8,0.4
coarse,6106,ramp,0,1,0.86,-0.0009266669154019347,0.77,0.033051555645529175,0.7160692179497649,0.7114262912164907,0.004642926733274155,1,1.7471090618706921e-12,0,0,8,0.42
coarse,6106,cold_no_entropy,5,0,0.78,-0.002879967008740274,2.4,0.004872231916846141,0.39390295732830055,0.40202120770984734,-0.008118250381546788,1,2.5917284360234994e-12,0,0,8,1.38
