k,ds_max,ds_change_rel,ds_neg_floored,mdot_max,ibl_n_iter,ibl_converged,ibl_final_residual,inflow_n_pinned,cl,cd_p,ds_wake_te,th_wake_te,mdot_wake_max
0,,,,0.0,,,,,0.2843718324331468,0.0015643358802351626,,,
1,0.0034540636638663463,inf,0,0.018878277702012503,100,False,1.8257568977560046e-06,14,0.2820927992408095,0.0024110807819021788,0.00657264813721866,0.004455308253464557,0.017778802439708086
2,0.0034645256250976316,0.010216223462789786,0,0.01902228315750748,16,False,1.8507048617175753e-06,,0.28259722182031444,0.002403051088847312,0.006614188511418973,0.0044741213847514835,0.017988040707454966
3,0.003466003644752863,0.0008014675438931385,0,0.01896214459348089,11,False,1.8492340184187913e-06,,0.2826145560660256,0.0024019335353872677,0.006617954022788378,0.004475769611147863,0.017998577891278456
