s_from_te,ds_wake_l05,ds_wake_l10,ds_wake_l20
2.986818,4.484784e-03,4.583838e-03,4.954194e-03
3.016800,4.484466e-03,4.580646e-03,4.947044e-03
3.046782,4.484166e-03,4.577548e-03,4.940000e-03
3.076764,4.483884e-03,4.574542e-03,4.933061e-03
3.106747,4.483619e-03,4.571624e-03,4.926226e-03
3.136729,4.483369e-03,4.568793e-03,4.919492e-03
3.166711,4.483133e-03,4.566045e-03,4.912858e-03
3.196693,4.482911e-03,4.563379e-03,4.906323e-03
3.226675,4.482702e-03,4.560791e-03,4.899885e-03
3.256658,4.482505e-03,4.558280e-03,4.893543e-03
3.286640,4.482320e-03,4.555843e-03,4.887295e-03
3.316622,4.482145e-03,4.553478e-03,4.881141e-03
3.346604,4.481981e-03,4.551182e-03,4.875077e-03
3.376587,4.481826e-03,4.548955e-03,4.869104e-03
3.406569,4.481680e-03,4.546793e-03,4.863220e-03
3.436551,4.481543e-03,4.544695e-03,4.857424e-03
3.466533,4.481414e-03,4.542660e-03,4.851714e-03
3.496516,4.481292e-03,4.540684e-03,4.846088e-03
3.526498,4.481177e-03,4.538766e-03,4.840547e-03
3.556480,4.481069e-03,4.536906e-03,4.835088e-03
3.586462,4.480967e-03,4.535100e-03,4.829710e-03
3.616445,4.480871e-03,4.533347e-03,4.824412e-03
3.646427,4.480781e-03,4.531647e-03,4.819193e-03
3.676409,4.480696e-03,4.529996e-03,4.814051e-03
3.706391,4.480616e-03,4.528395e-03,4.808986e-03
3.736374,4.480541e-03,4.526840e-03,4.803997e-03
3.766356,4.480470e-03,4.525332e-03,4.799082e-03
3.796338,4.480403e-03,4.523868e-03,4.794239e-03
3.826320,4.480340e-03,4.522447e-03,4.789469e-03
3.856303,4.480280e-03,4.521068e-03,4.784770e-03
3.886285,4.480225e-03,4.519730e-03,4.780141e-03
3.916267,4.480172e-03,4.518432e-03,4.775581e-03
3.946249,4.480122e-03,4.517172e-03,4.771088e-03
3.976232,4.480076e-03,4.515949e-03,4.766662e-03
4.006214,4.480032e-03,4.514762e-03,4.762303e-03
4.036196,4.479990e-03,4.513610e-03,4.758008e-03
4.066178,4.479951e-03,4.512493e-03,4.753777e-03
4.096161,4.479915e-03,4.511408e-03,4.749609e-03
4.126143,4.479880e-03,4.510355e-03,4.745503e-03
4.156125,4.479848e-03,4.509334e-03,4.741458e-03
4.186107,4.479817e-03,4.508342e-03,4.737473e-03
4.216090,4.479788e-03,4.507380e-03,4.733547e-03
4.246072,4.479761e-03,4.506446e-03,4.729680e-03
4.276054,4.479735e-03,4.505540e-03,4.725871e-03
4.306036,4.479711e-03,4.504661e-03,4.722118e-03
4.336019,4.479688e-03,4.503808e-03,4.718421e-03
4.366001,4.479667e-03,4.502980e-03,4.714779e-03
4.395983,4.479647e-03,4.502176e-03,4.711191e-03
4.425965,4.479628e-03,4.501396e-03,4.707657e-03
4.455948,4.479610e-03,4.500639e-03,4.704175e-03
4.485930,4.479593e-03,4.499904e-03,4.700745e-03
4.515912,4.479577e-03,4.499191e-03,4.697366e-03
4.545894,4.479562e-03,4.498500e-03,4.694037e-03
4.575877,4.479548e-03,4.497828e-03,4.690758e-03
4.605859,4.479535e-03,4.497177e-03,4.687528e-03
4.635841,4.479522e-03,4.496544e-03,4.684345e-03
4.665823,4.479511e-03,4.495931e-03,4.681210e-03
4.695806,4.479500e-03,4.495335e-03,4.678122e-03
4.725788,4.479489e-03,4.494757e-03,4.675080e-03
4.755770,4.479479e-03,4.494197e-03,4.672083e-03
4.785752,4.479470e-03,4.493652e-03,4.669130e-03
4.815735,4.479461e-03,4.493124e-03,4.666222e-03
4.845717,4.479453e-03,4.492611e-03,4.663356e-03
4.875699,4.479445e-03,4.492114e-03,4.660534e-03
4.905681,4.479438e-03,4.491631e-03,4.657753e-03
4.935664,4.479431e-03,4.491163e-03,4.655014e-03
4.965646,4.479425e-03,4.490708e-03,4.652315e-03
4.995628,4.479419e-03,4.490267e-03,4.649657e-03
5.025610,4.479413e-03,4.489839e-03,4.647038e-03
5.055592,4.479408e-03,4.489423e-03,4.644458e-03
