x_c,side,ds_ours,ds_xfoil,err_ds,cf_ours,cf_xfoil,err_cf,cf_ours_localframe,err_cf_localframe,window
0.383192,upper,1.261986e-03,1.357031e-03,-0.0700,4.310062e-03,4.024044e-03,+0.0711,3.105255e-03,-0.2283,banded
0.393184,upper,1.292825e-03,1.395308e-03,-0.0734,4.246615e-03,3.973737e-03,+0.0687,3.078583e-03,-0.2253,banded
0.403175,upper,1.323486e-03,1.433817e-03,-0.0769,4.185988e-03,3.925229e-03,+0.0664,3.053374e-03,-0.2221,banded
0.413165,upper,1.353997e-03,1.472248e-03,-0.0803,4.127946e-03,3.878141e-03,+0.0644,3.029344e-03,-0.2189,banded
0.423153,upper,1.384750e-03,1.510643e-03,-0.0833,4.070702e-03,3.831270e-03,+0.0625,3.005593e-03,-0.2155,banded
0.433140,upper,1.415615e-03,1.550032e-03,-0.0867,4.015417e-03,3.786558e-03,+0.0604,2.982883e-03,-0.2122,banded
0.443126,upper,1.446378e-03,1.589345e-03,-0.0900,3.962439e-03,3.742077e-03,+0.0589,2.961381e-03,-0.2086,banded
0.453111,upper,1.477361e-03,1.628672e-03,-0.0929,3.908581e-03,3.698706e-03,+0.0567,2.938869e-03,-0.2054,banded
0.463094,upper,1.508074e-03,1.668184e-03,-0.0960,3.858445e-03,3.656548e-03,+0.0552,2.918611e-03,-0.2018,banded
0.473076,upper,1.538871e-03,1.708451e-03,-0.0993,3.809534e-03,3.615222e-03,+0.0537,2.898752e-03,-0.1982,banded
0.483057,upper,1.569960e-03,1.748681e-03,-0.1022,3.760841e-03,3.574319e-03,+0.0522,2.878885e-03,-0.1946,banded
0.493036,upper,1.601030e-03,1.789295e-03,-0.1052,3.712253e-03,3.534592e-03,+0.0503,2.858623e-03,-0.1912,banded
0.503014,upper,1.632283e-03,1.830016e-03,-0.1081,3.664957e-03,3.495484e-03,+0.0485,2.839044e-03,-0.1878,banded
