k,ds_max,ds_change_rel,ds_neg_floored,mdot_max,ibl_n_iter,ibl_converged,ibl_final_residual,inflow_n_pinned,cl,cd_p
0,,,,0.0,,,,,0.284371833975345,0.0015643376075174487
1,0.006822816453447005,inf,0,0.07496241417164194,100,False,1.0850461466900859e-06,14,0.2622394953072003,0.0017453176815239765
2,0.006821740468349494,0.054977184411979664,0,0.07206206703940898,100,False,7.980545630152016e-07,,0.27364210607441725,0.0018514711992745562
3,0.006828324173069344,0.0054122657551947725,0,0.06682644664691317,21,False,1.209083121169903e-06,,0.27318586751636703,0.001857878445727343
4,0.0068410215024594,0.018235738817800735,0,0.06615429476519064,46,False,1.210743457853733e-06,,0.2718145581322781,0.0018842600455765538
5,0.006840905222593144,0.0006530033315163424,0,0.06680298457551848,23,False,1.1599254534900596e-06,,0.2719069658759613,0.0018827281416115282
