n_substep,err_H_vs_blasius,err_cf_vs_blasius,err_H_self,err_cf_self,wall_s
250,2.57539627e-04,5.39372413e-05,3.51349933e-14,1.45283875e-09,0.003801
500,2.57539627e-04,5.39383200e-05,3.49636031e-14,7.37261406e-11,0.008055
1000,2.57539627e-04,5.39383842e-05,3.44494325e-14,4.68904647e-12,0.015311
2000,2.57539627e-04,5.39383882e-05,3.34210912e-14,4.36322553e-13,0.030413
