leg,nx,C,x,flux_over_mdot
regular,40,3.0,3.45,1.0663
regular,40,3.0,3.55,1.0663
regular,40,3.0,3.65,1.0663
regular,40,3.0,3.75,1.0663
regular,40,3.0,3.85,1.0663
regular,40,3.0,3.95,1.0663
regular,80,1.0,0.025,0.722194
regular,80,1.0,0.075,0.722194
regular,80,1.0,0.125,0.722194
regular,80,1.0,0.175,0.722194
regular,80,1.0,0.225,0.722194
regular,80,1.0,0.275,0.722194
regular,80,1.0,0.325,0.722194
regular,80,1.0,0.375,0.722194
regular,80,1.0,0.425,0.722194
regular,80,1.0,0.475,0.722194
regular,80,1.0,0.525,0.722194
regular,80,1.0,0.575,0.722194
regular,80,1.0,0.625,0.722194
regular,80,1.0,0.675,0.722194
regular,80,1.0,0.725,0.722194
regular,80,1.0,0.775,0.722194
regular,80,1.0,0.825,0.722194
regular,80,1.0,0.875,0.722194
regular,80,1.0,0.925,0.722194
regular,80,1.0,0.975,0.722194
regular,80,1.0,1.025,0.722194
regular,80,1.0,1.075,0.722194
regular,80,1.0,1.125,0.722194
regular,80,1.0,1.175,0.722193
regular,80,1.0,1.225,0.722211
regular,80,1.0,1.275,0.722216
regular,80,1.0,1.325,0.722206
regular,80,1.0,1.375,0.722254
regular,80,1.0,1.425,0.722345
regular,80,1.0,1.475,0.726415
regular,80,1.0,1.525,0.721983
regular,80,1.0,1.575,0.724474
regular,80,1.0,1.625,0.699364
regular,80,1.0,1.675,0.679702
regular,80,1.0,1.725,0.734516
regular,80,1.0,1.775,0.58647
regular,80,1.0,1.825,0.746395
regular,80,1.0,1.875,0.723554
regular,80,1.0,1.925,0.331005
regular,80,1.0,1.975,0.109906
regular,80,1.0,2.025,0.200154
regular,80,1.0,2.075,0.498177
regular,80,1.0,2.125,0.72173
regular,80,1.0,2.175,0.773241
regular,80,1.0,2.225,0.612443
regular,80,1.0,2.275,0.715428
regular,80,1.0,2.325,0.717017
regular,80,1.0,2.375,0.71766
regular,80,1.0,2.425,0.717976
regular,80,1.0,2.475,0.71815
regular,80,1.0,2.525,0.718252
regular,80,1.0,2.575,0.718315
regular,80,1.0,2.625,0.718354
regular,80,1.0,2.675,0.71838
regular,80,1.0,2.725,0.718398
regular,80,1.0,2.775,0.71841
regular,80,1.0,2.825,0.718418
regular,80,1.0,2.875,0.718423
regular,80,1.0,2.925,0.718427
regular,80,1.0,2.975,0.71843
regular,80,1.0,3.025,0.718432
regular,80,1.0,3.075,0.718433
regular,80,1.0,3.125,0.718434
regular,80,1.0,3.175,0.718434
regular,80,1.0,3.225,0.718435
regular,80,1.0,3.275,0.718435
regular,80,1.0,3.325,0.718435
regular,80,1.0,3.375,0.718436
regular,80,1.0,3.425,0.718436
regular,80,1.0,3.475,0.718436
