level,n_dof,entropy,upwind_c,m_reached,at_target,gamma_star,b,one_minus_b,T0,F_at_state,sigma_min,wall_s,n_solves
coarse,6106,False,1.5,0.7875,True,0.18914978,0.968843,0.031157,0.0058933,-2.7755575615628914e-17,,3.5,7
coarse,6106,True,1.5,0.7875,True,0.17939205,0.966546,0.033454,0.00600136,8.326672684688674e-17,0.96812404,3.7,7
medium,21874,False,1.5,0.7875,True,0.26426176,0.988272,0.011728,0.00309923,-5.551115123125783e-17,,26.9,7
medium,21874,True,1.5,0.7875,True,0.18895643,0.981942,0.018058,0.00341226,2.7755575615628914e-17,0.96675902,18.6,7
fine,82356,False,1.5,0.7825,False,0.28071204,0.994325,0.005675,0.00159305,-5.551115123125783e-17,,830.8,25
fine,82356,True,1.5,0.7875,True,0.21011956,0.990276,0.009724,0.00204317,-5.551115123125783e-17,0.96429306,710.9,41
