level,n_dof,upwind_c,m_reached,at_target,usable,gamma,cl_p,x_shock,m_max,res_final,n_halvings,n_solves,entropy,sigma_min,n_shock_cells,m1_detected,n_sigma_refresh,wall_s
coarse,6106,1.5,0.7875,True,True,0.18145487,0.357114,0.5433939216358729,1.35972,2.74348202157273e-13,0,7,True,0.9840191777175967,74,1.271327945022162,8,3.9
medium,21874,1.5,0.7875,True,True,0.20552211,0.406354,0.6028877761644567,1.37302,2.8936822315250876e-13,0,7,True,0.9703632042403725,140,1.3470312041563586,8,20.5
