nx,h,C,converged,err_x,err_cells,smear_cells,part,m_inf,level,m_reached,cl_p,x_shock_up,n_cells_up,m_max,n_floored,wall_s,alpha,n_dof,h_wall,precond,n_limited,res_final
100,0.2,1.0,True,-0.09991,-0.5,10,nozzle,,,,,,,,,,,,,,,
100,0.2,1.5,True,-0.13015,-0.651,12,nozzle,,,,,,,,,,,,,,,
100,0.2,3.0,True,-0.18709,-0.935,11,nozzle,,,,,,,,,,,,,,,
200,0.1,1.0,True,-0.05506,-0.551,7,nozzle,,,,,,,,,,,,,,,
200,0.1,1.5,True,-0.06845,-0.684,8,nozzle,,,,,,,,,,,,,,,
200,0.1,3.0,True,-0.1038,-1.038,11,nozzle,,,,,,,,,,,,,,,
400,0.05,1.0,False,-0.03274,-0.655,2,nozzle,,,,,,,,,,,,,,,
400,0.05,1.5,False,-0.03839,-0.768,4,nozzle,,,,,,,,,,,,,,,
400,0.05,3.0,False,-0.05627,-1.125,10,nozzle,,,,,,,,,,,,,,,
800,0.025,1.0,False,-0.02178,-0.871,2,nozzle,,,,,,,,,,,,,,,
800,0.025,1.5,False,-0.02452,-0.981,4,nozzle,,,,,,,,,,,,,,,
800,0.025,3.0,False,-0.03198,-1.279,8,nozzle,,,,,,,,,,,,,,,
,,1.5,True,,,,airfoil,0.7875,coarse,0.7875,0.372523,0.5635472735242614,1,1.36618,0,3.3,,,,,,
,,1.5,True,,,,airfoil,0.7875,medium,0.7875,0.523426,0.6737918816715474,1,1.40441,0,60.1,,,,,,
,,1.5,False,,,,airfoil,0.7875,fine,0.7406250000000001,0.28357,0.3937234390038605,1,1.5838,0,322.6,1.25,82356,0.005,direct,0,7.08e-07
,,1.5,False,,,,airfoil,0.8,fine,0.784375,-2.8e-05,0.44356470914883733,1,1.43919,0,309.3,0.0,82356,0.005,direct,0,1.23e-07
