level,n_dof,upwind_c,m_reached,at_target,usable,gamma,cl_p,x_shock,m_max,res_final,n_halvings,n_solves,wall_s
coarse,6106,1.5,0.7875,True,True,0.18914978,0.372523,0.5635472735242614,1.36618,1.2428420676727879e-12,0,7,3.4
medium,21874,1.5,0.7875,True,True,0.26426176,0.523426,0.6737918816715445,1.40441,7.849324183338725e-11,0,7,27.1
fine,82356,1.5,0.7825,False,True,0.28071204,0.558286,0.6966036855782384,1.39809,1.5418774848053635e-13,4,25,834.2
coarse,6106,3.0,0.7875,True,True,0.17427115,0.34269,0.567417564141759,1.31388,3.8686725362013967e-13,0,7,3.4
medium,21874,3.0,0.7875,True,True,0.22417696,0.443563,0.6313982905797989,1.35937,3.4087131653690376e-13,0,7,19.8
fine,82356,3.0,0.7875,True,True,0.28672922,0.568569,0.7081597862698835,1.39777,1.381759499758522e-12,4,25,506.0
