level,n_dof,upwind_c,m_reached,at_target,usable,gamma,cl_p,x_shock,m_max,res_final,n_halvings,n_solves,entropy,sigma_min,n_shock_cells,m1_detected,n_sigma_refresh,wall_s
coarse,6106,1.5,0.7875,True,True,0.17939205,0.352982,0.5277993732898436,1.35751,4.396617119013869e-12,0,7,True,0.968125631865678,73,1.3574989804057722,8,3.8
medium,21874,1.5,0.7875,True,True,0.18895643,0.373203,0.5749533061979092,1.36371,2.0195745643789437e-13,0,7,True,0.9667756086478684,148,1.363633531438821,8,18.0
fine,82356,1.5,0.7875,True,True,0.21011956,0.415958,0.6180419245071064,1.37459,3.5141925919739104e-13,4,41,True,0.956166667585227,319,1.408037690430781,8,715.5
