k,ds_max,ds_change_rel,ds_neg_floored,mdot_max,ibl_n_iter,ibl_converged,ibl_final_residual,inflow_n_pinned,cl,cd_p
0,,,,0.0,,,,,0.3975424302492173,0.006957362754556272
1,0.00438907955588532,inf,0,0.013700676820631157,100,False,3.1754393827842437e-06,6,0.3770919890588024,0.007629688984393365
2,0.0053147198305390836,0.17416539425745678,0,0.021627558435285767,56,False,3.0227058245025796e-06,,0.3761382500603761,0.007608979649332156
3,0.0053193083011609564,0.0021031123877789178,0,0.02168345947022964,28,False,2.993488108729831e-06,,0.3764486936938426,0.007612911987042148
4,0.005319751118251884,0.0001684596559048437,0,0.021705178157030103,21,False,2.9900336509477147e-06,,0.37643772758185107,0.007612547378860503
