level,max_B_over_max_A,pointwise_max,median,p90,top1pct_xc_from,top1pct_xc_to,n_live,n_tip_masked,ue_magnitude_error_pct,flow_angle_deg_at_worst_node
S2,0.1470913577433972,1.584294768209948,0.008414735076023208,0.0881175486879258,0.982,1.0,2575,982,87.34967073836593,57.740056606588695
S4,0.018562130142208928,0.03149854741563156,0.0002933366032367078,0.0019337262157863827,0.9712,1.0,9814,3950,0.04959562583422006,1.8041373221023187
