re_theta,H,H_star,Us,DFAC,cf_wall,cf_max,cf_max_fires,us_clamped,cD_wall,cD_outer,cD_lam,cD,cD_pre_round9,rel_move
300.0,1.35,1.8212267267267268,0.5958334352871391,0.8700341595855483,0.007029385592141246,0.007137041648936173,1,0,0.0018220007259456105,0.00031958004874272375,7.96669731923333e-05,0.002221247747880668,0.0024498271618826045,-0.0933043022619936
300.0,1.45,1.7838076923076924,0.5228401856763927,0.9201567136366243,0.005982696783105074,0.006337374268707481,1,0,0.001439122476265944,0.0005885319566211038,0.00011146744513105167,0.002139121878018099,0.002251481264784607,-0.049904651006392964
300.0,1.6,1.735809523809524,0.433952380952381,0.9630060130480361,0.004697013865331845,0.005295501666666666,1,0,0.0009814381167731773,0.001091407113736484,0.00015738721541950113,0.002230232445929162,0.0022501314025497685,-0.008843464251935496
300.0,2.9,1.5421993464052288,0.09749536097964087,0.9999670712071915,0.0005341404667970667,0.0008587822222222223,1,0,2.603725140861675e-05,0.006007339309272768,0.0004027572885315326,0.006436133849212918,0.006082669849028308,0.05811000908442776
600.0,1.35,1.8085572916666666,0.5916884966563786,0.8940040941151685,0.005487539201409579,0.005487539201409579,0,0,0.0014513771243495266,0.000386462265782713,4.066504218232299e-05,0.0018785044323145626,0.0020147102898436637,-0.06760567919652127
600.0,1.45,1.7688834134615383,0.5184658280835543,0.939433851728416,0.004653710261894384,0.004653710261894384,0,0,0.0011333281815873843,0.0006769122444155603,5.677120425102314e-05,0.0018670116302539677,0.001890409569005683,-0.012377179599245336
600.0,1.6,1.7183154761904762,0.42957886904761905,0.9748000011588656,0.003633904025400764,0.003633904025400764,0,0,0.0007608549820277612,0.001203869690613243,7.992526383186736e-05,0.0020446499364728714,0.001995039660433097,0.024866811935460253
600.0,2.9,1.524656556372549,0.09638633402355191,0.9999906056856993,0.00038302061268797916,0.00042939111111111114,1,0,1.8458802946798974e-05,0.006134288680621766,0.00020187663016990785,0.006354624113738473,0.006189114355594026,0.026742074654809267
1000.0,1.35,1.7974177927927928,0.588044092703815,0.909090909090909,0.004648743680310589,0.004648743680310589,0,0,0.001242575572591288,0.0004134735191460353,2.484196657248917e-05,0.0016808910583098126,0.001785386726613376,-0.05852831027918348
1000.0,1.45,1.755875,0.5146530172413794,0.9507558419071096,0.003932887131480029,0.003932887131480029,0,0,0.0009621992479325742,0.0007109375687108973,3.460998357679659e-05,0.001707746800220268,0.0017303739332295883,-0.013076441210073453
1000.0,1.6,1.7032857142857143,0.4258214285714286,0.9810587215441363,0.0030598860129605835,0.0030598860129605835,0,0,0.0006391426048952661,0.0012441864637277066,4.8594636926020405e-05,0.0019319237055489932,0.0019065986475019208,0.013282846959035588
1000.0,2.9,1.5134975490196079,0.09568087953572231,0.9999962724201745,0.00030455993548842943,0.00030455993548842943,0,0,1.4570226937551451e-05,0.006167821785221528,0.00012131623206489627,0.006303708244223976,0.00621668368579091,0.0139985501646116
3000.0,1.35,1.7838717359938063,0.5836123580720478,0.9351596512488782,0.003380046055265816,0.003380046055265816,0,0,0.0009223651002222389,0.0004406155235381041,8.46198959655205e-06,0.001371442613356895,0.0014322890831804434,-0.04248197555792077
3000.0,1.45,1.7401638371394232,0.5100480212305206,0.9686685582501273,0.0028463146592921013,0.0028463146592921013,0,0,0.0007031357574425114,0.0007443358586689847,1.175892108562168e-05,0.0014592305371971177,0.0014778887639647564,-0.01262491956267664
3000.0,1.6,1.6853418898809525,0.4213354724702381,0.9897995153753265,0.0021989944072832784,0.0021989944072832784,0,0,0.0004585317260976833,0.0012824560152053023,1.645454950729724e-05,0.0017574422908102829,0.0017568909414277893,0.00031382106281752087
3000.0,2.9,1.5039651692708333,0.09507825782746644,0.9999994894173192,0.00019194420468939002,0.00019194420468939002,0,0,9.12485563197728e-06,0.006207406578519743,4.0492957101742395e-05,0.006257024391253463,0.00625102002980494,0.0009605410668809267
10000.0,1.35,1.7784065541319865,0.5818243664752796,0.9556429820556986,0.002497620224990478,0.002497620224990478,0,0,0.0006943588688296672,0.00045008074776689344,2.560711562078311e-06,0.001147000328158639,0.0011821155035442639,-0.029705367436888563
10000.0,1.45,1.7338602741549107,0.508200425183336,0.9810587215441364,0.0020939351041486106,0.0020939351041486106,0,0,0.0005219912813042095,0.0007557662337959857,3.554607390625273e-06,0.0012813121224908204,0.001295598190535138,-0.011026619324326803
10000.0,1.6,1.6782111715274344,0.4195527928818586,0.9948472140451494,0.0016068686890413244,0.0016068686890413244,0,0,0.00033534620595831186,0.0012951874388602287,4.967092322701035e-06,0.0016355007371412415,0.0016435243088508244,-0.00488193065741338
10000.0,2.9,1.501438079245539,0.09491849926264899,0.9999999422030745,0.0001188617818724027,0.0001188617818724027,0,0,5.6410906514686855e-06,0.006224496894485024,1.215220061954403e-05,0.006242290185756037,0.006264715392560587,-0.0035796050417837844
30000.0,1.35,1.77676438110625,0.58128711233723,0.9688204706661081,0.001958010829655451,0.001958010829655451,0,0,0.0005513394832674319,0.0004527768738055326,8.557917670913388e-07,0.0010049721488400558,0.0010273322190408503,-0.02176517954598034
30000.0,1.45,1.7319702717154781,0.5076464589510885,0.9880867888145328,0.0016356667701712011,0.0016356667701712011,0,0,0.00041022421141867125,0.0007589991198816213,1.1875673698645652e-06,0.0011704108986701572,0.0011819562876114245,-0.009768033777796559
30000.0,1.6,1.6760811885861313,0.4190202971465328,0.9972429415812003,0.0012483443049298168,0.0012483443049298168,0,0,0.0002608197175297415,0.0012987488808542651,1.658763090495842e-06,0.0015612273614745026,0.0015715639407471605,-0.006577256581583146
30000.0,2.9,1.5008321294387672,0.09488019209095651,0.9999999920833309,7.683251964904107e-05,7.683251964904107e-05,0,0,3.644942082710803e-06,0.006229855567683833,4.051078342951066e-06,0.006237551588109495,0.006268106211797202,-0.004874618051334267
