state,geom,eta,phi_sha,x_percell,x_subcell,shift
W M0.76,wing,0.2,f48370db9e10,0.13970839176678512,0.13971005292818917,1.6611614040429323e-06
W M0.76,wing,0.44,f48370db9e10,0.19642665781655244,0.19654535411690488,0.00011869630035243883
W M0.76,wing,0.65,f48370db9e10,0.23954803179074832,0.2411898256764433,0.0016417938856949643
W M0.76,wing,0.8,f48370db9e10,0.9783472120176484,0.9795693699416724,0.0012221579240240255
W M0.76,wing,0.9,f48370db9e10,0.2506719044554258,0.25085391398878953,0.00018200953336372505
W M0.76,wing,0.96,f48370db9e10,0.9856717028026137,0.9858357585807924,0.00016405577817868444
W M0.76,wing,0.99,f48370db9e10,0.9785004028722927,0.9785084566954448,8.053823152165407e-06
W M0.78,wing,0.2,ec74b4e78663,0.3972202766165634,0.3972903807175909,7.010410102747944e-05
W M0.78,wing,0.44,ec74b4e78663,0.42080969343746993,0.4208339662024099,2.4272764939992086e-05
W M0.78,wing,0.65,ec74b4e78663,0.37764590801220843,0.3776523253832969,6.4173710884740665e-06
W M0.78,wing,0.8,ec74b4e78663,0.9783472120176484,0.9796365615994825,0.0012893495818341316
W M0.78,wing,0.9,ec74b4e78663,0.2589153628639305,0.2589297443515262,1.4381487595693798e-05
W M0.78,wing,0.96,ec74b4e78663,0.9856717028026137,0.9858599186642973,0.00018821586168360493
W M0.78,wing,0.99,ec74b4e78663,0.9785004028722927,0.9785128731181678,1.2470245875140229e-05
W M0.80,wing,0.2,2ac55955973a,0.5570595183598465,0.557072890061106,1.3371701259590196e-05
W M0.80,wing,0.44,2ac55955973a,0.4969772627907579,0.49753042803240266,0.0005531652416447819
W M0.80,wing,0.65,2ac55955973a,0.45265681488503884,0.45267922326404225,2.2408379003413526e-05
W M0.80,wing,0.8,2ac55955973a,0.9783472120176484,0.9796997476115032,0.0013525355938548422
W M0.80,wing,0.9,2ac55955973a,0.3348532756083735,0.3355360886221199,0.0006828130137463972
W M0.80,wing,0.96,2ac55955973a,0.9856717028026137,0.9858832497994784,0.00021154699686465328
W M0.80,wing,0.99,2ac55955973a,0.9811729250069775,0.9812030659537351,3.014094675757306e-05
W M0.82,wing,0.2,617235784436,0.6139075607811839,0.6140498490929603,0.00014228831177642842
W M0.82,wing,0.44,617235784436,0.543394155618494,0.5439640403385622,0.0005698847200681367
W M0.82,wing,0.65,617235784436,0.5276238154467355,0.5280790048087537,0.0004551893620181602
W M0.82,wing,0.8,617235784436,0.9841854235306934,0.9845018045244294,0.0003163809937359874
