state,n_st,n_te,fan_u_min,fan_u_med,fan_u_max,fan_l_min,fan_l_med,fan_l_max,djj_min,djj_max,sign_uniform,dom_margin_min,bandwidth,cond,fd_relerr,gamma_ref,gamma_star_reldev,rough_probe,rough_star
naca_coarse_a2_laplace,1,2,1,1.5,2,1,1.5,2,81.72666912486059,81.72666912486059,True,81.72666912486059,0,1.0,7.085442224401007e-11,0.11754466988114531,6.261372491585016e-05,nan,nan
m6_coarse_freestream,83,83,2,3.0,4,2,3.0,4,59.3188505419232,130.5605400677417,True,-0.208348579945266,1,4.216694612168992,1.2249486226216077e-10,0.0,nan,nan,nan
conf_picard_coarse,83,83,2,3.0,4,2,3.0,4,29.02808047004428,113.01805297170579,True,-0.2694024902916965,1,6.361856840158669,nan,0.1036463918524344,0.021510863674876,0.0964914965085562,0.022610458030565387
conf_picard_medium,166,166,2,3.0,4,2,3.0,3,95.02371356770973,207.26615544598624,True,3.192075948062694,1,4.8624096263573975,nan,0.09850150408359037,0.010303781999688667,0.038946036873713244,0.008099195131773113
conf_newton_medium,166,166,2,3.0,4,2,3.0,3,99.61412472794507,215.9374008721777,True,5.59527546785759,1,4.735855093784555,nan,0.10559304305542729,0.008786145056792989,0.03652826752260746,0.007363243033221417
