node,x_c,side,regime,region,F_delta,F_A,F_B,F_Psi,F_Ct1,F_Ct2,F_max
193,0.781818,-1,turbulent,mid,-2.663631e-07,-1.152830e-08,-4.552058e-07,1.140551e-08,6.386240e-10,3.700073e-20,4.552058e-07
194,0.801688,-1,turbulent,mid,-2.950725e-07,-1.351896e-08,-4.981703e-07,1.182563e-08,2.420471e-10,2.638399e-20,4.981703e-07
195,0.821553,-1,turbulent,mid,-3.327817e-07,-1.969615e-08,-5.550617e-07,7.494932e-09,-2.034683e-10,2.265943e-20,5.550617e-07
196,0.841411,-1,turbulent,mid,-3.823654e-07,-1.989551e-08,-6.286089e-07,8.727875e-09,-7.511878e-10,2.705688e-20,6.286089e-07
197,0.861262,-1,turbulent,mid,-4.364871e-07,-1.530693e-08,-7.059891e-07,1.666538e-08,-1.476541e-09,1.276766e-20,7.059891e-07
198,0.881106,-1,turbulent,mid,-5.249404e-07,-3.531232e-08,-8.369710e-07,5.133625e-09,-2.375563e-09,9.679265e-21,8.369710e-07
199,0.900943,-1,turbulent,te_band,-5.561408e-07,-2.491772e-08,-8.837671e-07,2.558258e-08,-3.006820e-09,2.447180e-20,8.837671e-07
200,0.920772,-1,turbulent,te_band,-5.098686e-07,1.083033e-07,-8.215262e-07,1.247241e-07,-4.224136e-09,4.802987e-22,8.215262e-07
201,0.940593,-1,turbulent,te_band,-9.004485e-07,-1.494474e-07,-1.418834e-06,-1.429062e-07,-6.127495e-09,1.713687e-20,1.418834e-06
202,0.960405,-1,turbulent,te_band,-1.192499e-06,-1.494918e-07,-1.835384e-06,-1.353095e-07,-1.058542e-08,9.677025e-21,1.835384e-06
203,0.980207,-1,turbulent,te_band,-1.442176e-06,-1.959740e-07,-2.102112e-06,-8.319831e-08,-1.482978e-08,2.758258e-20,2.102112e-06
204,1.000000,1,turbulent,te_band,-9.283214e-07,3.686429e-07,-1.873182e-06,2.227613e-07,-3.086837e-08,3.124515e-22,1.873182e-06
205,1.000000,1,turbulent,te_band,-8.674946e-07,-3.431195e-07,-1.428348e-06,-2.796830e-07,-1.490554e-08,-8.056102e-23,1.428348e-06
