section,name_or_node,x_c,side,regime,region,energy_fraction
node,261,0.443126,1,turbulent,mid,9.44151646e-04
node,262,0.433140,1,turbulent,mid,9.36098387e-04
node,263,0.423153,1,turbulent,mid,9.24913370e-04
node,264,0.413165,1,turbulent,mid,9.11478113e-04
node,265,0.403175,1,turbulent,mid,8.97293539e-04
node,266,0.393184,1,turbulent,mid,8.82464588e-04
node,267,0.383192,1,turbulent,mid,8.67501039e-04
node,268,0.373199,1,turbulent,mid,8.56219869e-04
node,269,0.363205,1,turbulent,mid,8.41926766e-04
node,270,0.353210,1,turbulent,mid,8.32405381e-04
node,271,0.343214,1,turbulent,mid,8.27413917e-04
node,272,0.333217,1,turbulent,mid,8.23973312e-04
node,273,0.323220,1,turbulent,mid,8.29095612e-04
node,274,0.313223,1,turbulent,mid,8.44048416e-04
node,275,0.303225,1,turbulent,mid,8.71683364e-04
node,276,0.293227,1,turbulent,mid,9.39024956e-04
node,277,0.283230,1,turbulent,mid,1.02687750e-03
node,278,0.273232,1,turbulent,mid,1.08924050e-03
node,279,0.263236,1,turbulent,mid,1.30735827e-03
node,280,0.253240,1,turbulent,mid,1.59583029e-03
node,281,0.243246,1,turbulent,mid,1.79850877e-03
node,282,0.233253,1,turbulent,mid,3.31243725e-03
node,283,0.223263,1,turbulent,mid,6.29724444e-03
node,284,0.213275,1,turbulent,mid,4.07531140e-02
node,285,0.203291,1,turbulent,mid,4.79735055e-02
node,286,0.193310,1,turbulent,mid,1.28899725e-02
node,287,0.183335,1,turbulent,mid,1.27649657e-03
node,288,0.173365,1,turbulent,mid,3.82839879e-05
node,289,0.163402,1,turbulent,mid,8.07566691e-05
node,290,0.153447,1,turbulent,mid,3.86988225e-05
node,291,0.143503,1,turbulent,mid,1.09251442e-04
node,292,0.133570,1,turbulent,mid,1.11857188e-04
node,293,0.123651,1,turbulent,mid,2.85186422e-04
node,294,0.113749,1,turbulent,mid,1.86899922e-04
node,295,0.103869,1,turbulent,mid,4.76879977e-02
node,296,0.094014,1,turbulent,mid,4.98911395e-02
node,297,0.084190,1,turbulent,mid,8.31513215e-05
node,298,0.074407,1,turbulent,mid,9.19837680e-06
node,299,0.064676,1,turbulent,mid,1.22310253e-05
node,300,0.055012,1,turbulent,mid,4.49931411e-07
