section,variant,n_cut,n_ext,n_beyond_tip,n_span_blended,converged,res,n_newton,n_limited,n_floored,cl_p,cl_kj,mmax,tip_mmax,wall_s,peak_x,peak_y,peak_z,cl_drift_pct,gamma_drift_max_pct,gamma_drift_mean_pct,delta_drift_max_pct,delta_drift_mean_pct,q_lo,q_hi,q_mid,z_mid,n_elem,delta_mean,delta_max,m2_main_max,gamma,metric,value,x_lo,x_hi
variant,baseline,2409,998,177,0,True,9.684697488410166e-11,5,0,0,0.20580710410574515,0.12477752516994267,1.2979531573493976,1.2979531573493976,375.2,1.1343324431039437,7.59296548861726e-05,1.1979716338750719,,,,,,,,,,,,,,,,,,
variant,fringe_only,2463,1015,123,0,True,4.090594529770897e-11,6,0,0,0.20984434489655548,0.12726632440153013,2.181276131225475,2.181276131225475,397.3,1.143175779621321,-0.0003848963787442914,1.2222449165368434,1.9616625035139545,7.153707227733676,1.8217507738585614,6.4769403923068865,5.233156475683425,,,,,,,,,,,,,
variant,fringe_fade,2463,1015,123,50,True,1.3155698752598255e-11,5,0,0,0.16564527750746944,0.10151558587382185,0.8679634700640952,0.8679634700640952,376.2,1.1380130645820987,-0.00040561606075722556,1.1979716338750719,19.514305287362816,33.24239042595884,19.27756709746373,79.30888752732324,69.08840482490957,,,,,,,,,,,,,
variant,c3_noclip,2585,1053,1,0,False,5.49829358469367e-05,80,21,25,0.2535923259708794,0.1566726650409816,7.609274987737775,7.609274987737775,1025.0,1.143175779621321,-0.0003848963787442914,1.2222449165368434,23.21845111847152,47.41485023544531,22.69094815180819,0.0,0.0,,,,,,,,,,,,,
ring,baseline,,,,,,,,,,,,,,,,,,,,,,,0.9240921831257367,0.9400129039214393,0.932052543523588,1.0470161256440718,24,0.05338758192961566,0.06173018803942698,0.258455620200527,,,,,
ring,baseline,,,,,,,,,,,,,,,,,,,,,,,0.9400129039214393,0.9559336247171418,0.9479732643192906,1.0623383769322159,16,0.0508654498351887,0.060900667332961955,0.2542552121595693,,,,,
ring,baseline,,,,,,,,,,,,,,,,,,,,,,,0.9559336247171418,0.9718543455128444,0.9638939851149931,1.0776606282203598,22,0.05135648203566545,0.06113410081973136,0.25696747747549314,,,,,
ring,baseline,,,,,,,,,,,,,,,,,,,,,,,0.9718543455128444,0.987775066308547,0.9798147059106956,1.0929828795085035,18,0.05037242733498105,0.05988216549729064,0.2689621889617111,,,,,
ring,baseline,,,,,,,,,,,,,,,,,,,,,,,0.987775066308547,1.0036957871042496,0.9957354267063983,1.1083051307966476,13,0.04676366853475769,0.058875475929210164,0.2541262804311387,,,,,
ring,baseline,,,,,,,,,,,,,,,,,,,,,,,1.0036957871042496,1.0196165078999522,1.0116561475021009,1.1236273820847915,18,0.04804024014965809,0.06222022533817695,0.2606390233536596,,,,,
ring,baseline,,,,,,,,,,,,,,,,,,,,,,,1.0196165078999522,1.0355372286956546,1.0275768682978033,1.1389496333729352,17,0.04831388870243426,0.06038897080738648,0.27038738395135237,,,,,
ring,baseline,,,,,,,,,,,,,,,,,,,,,,,1.0355372286956546,1.0514579494913572,1.0434975890935059,1.154271884661079,18,0.04332911271505095,0.0616163997669148,0.275374753191536,,,,,
ring,baseline,,,,,,,,,,,,,,,,,,,,,,,1.0514579494913572,1.0673786702870598,1.0594183098892085,1.1695941359492232,26,0.036826296443768815,0.06178863813921098,0.34936176332668845,,,,,
ring,baseline,,,,,,,,,,,,,,,,,,,,,,,1.0673786702870598,1.0832993910827624,1.075339030684911,1.1849163872373671,28,0.03363532656292963,0.05983326825656465,0.9675139989648284,,,,,
ring,baseline,,,,,,,,,,,,,,,,,,,,,,,1.0832993910827624,1.099220111878465,1.0912597514806137,1.200238638525511,15,0.033613838103462364,0.06106279743238685,1.2570936199240161,,,,,
ring,baseline,,,,,,,,,,,,,,,,,,,,,,,1.099220111878465,1.1151408326741674,1.1071804722763163,1.2155608898136552,5,0.05167271815398541,0.05746538538004464,0.2725586194891061,,,,,
ring,baseline,,,,,,,,,,,,,,,,,,,,,,,1.1151408326741674,1.13106155346987,1.1231011930720187,1.2308831411017989,8,0.04884345104647113,0.056799689981423374,0.27330766071167795,,,,,
ring,baseline,,,,,,,,,,,,,,,,,,,,,,,1.13106155346987,1.1469822742655726,1.1390219138677213,1.2462053923899428,6,0.05236154155773206,0.05801829260960467,0.2926835729340896,,,,,
ring,fringe_only,,,,,,,,,,,,,,,,,,,,,,,0.9240921831257367,0.9400129039214393,0.932052543523588,1.0470161256440718,24,0.055482345815243694,0.0629979266056988,0.2532280747521584,,,,,
ring,fringe_only,,,,,,,,,,,,,,,,,,,,,,,0.9400129039214393,0.9559336247171418,0.9479732643192906,1.0623383769322159,16,0.05310255516358471,0.062179464553636876,0.25293999436516984,,,,,
ring,fringe_only,,,,,,,,,,,,,,,,,,,,,,,0.9559336247171418,0.9718543455128444,0.9638939851149931,1.0776606282203598,22,0.05376022835346284,0.0623408968567819,0.25739707769101505,,,,,
ring,fringe_only,,,,,,,,,,,,,,,,,,,,,,,0.9718543455128444,0.987775066308547,0.9798147059106956,1.0929828795085035,18,0.05291487873279697,0.06150252476866014,0.2500053980617343,,,,,
