leg,tag,m,taper,converged,accept_reason,res,n_newton,n_limited,n_floored,wall_s,cl_p,mmax,corr_mmax,mask_lim,mask_flr,cap_wall_clamps,gamma_tip
A,g2a_m0_82_notaper,0.82,False,False,None,4.1895581686178305e-06,80,0,2,2025.0,0.2550136150286985,2.671369945155921,1.1951210294568797,0,2,1,0.010049829624058483
B,g2a_m0_83_notaper,0.83,False,False,None,3.6611474515229012e-06,80,0,3,6024.8,0.25918231410441994,2.8500033202327724,1.2069843839705723,0,3,1,0.010184582083970377
C,g2a_m0_83_taper,0.83,True,True,tol,2.32166520878824e-14,10,0,0,60.4,0.255382310000406,1.818533800138074,1.2069307858086655,0,0,0,3.510513299748567e-05
D,g2a_m0_84_taper,0.84,True,True,tol,1.8540895016480177e-14,9,0,0,56.7,0.260294715964648,1.8836602186106386,1.218427986781963,0,0,0,3.564988528805468e-05
