leg,tag,m,converged,accept_reason,res,n_newton,n_limited,n_floored,wall_s,sigma_flips,cl_p,mmax,corr_mmax,mask_lim,mask_flr,cap_wall_clamps,gamma_tip,gamma_root
G,g2c_m0_82_ptaper,0.82,True,tol,6.329972240075824e-11,8,0,0,107.5,0,0.26403773675926473,2.016772773575849,1.1343172239044825,0,0,0,7.298711169207844e-05,0.10328203945455619
E,g2c_m0_83_ptaper,0.83,True,tol,2.38419346829014e-14,11,0,0,90.3,0,0.2683575425295084,2.0971878092687186,1.1573676416012402,0,0,0,8.002488305206355e-05,0.10508241610158152
F,g2c_m0_84_ptaper,0.84,False,None,4.9429193310959224e-05,80,97,63,474.8,3,0.2749750480499249,9.94538483659448,1.180310535609696,97,67,0,-0.00015128603074201783,0.1072909878813826
F2,g2c_m0_84_ptaper_f2,0.84,True,tol,2.0657995926623568e-14,13,0,0,86.3,1,0.2760862280262402,2.8167851983361722,1.1802300183400178,0,0,0,0.00012827800320599076,0.10736586186119008
