eta,side,x_over_c,cp
0.20,upper,0.00000,0.645157
0.20,upper,0.00108,0.599687
0.20,upper,0.00361,0.100560
0.20,upper,0.00624,0.150183
0.20,upper,0.00948,-0.475311
0.20,upper,0.01209,-0.534403
0.20,upper,0.01544,-0.717422
0.20,upper,0.01938,-0.713643
0.20,upper,0.02061,-0.860737
0.20,upper,0.02118,-0.566994
0.20,upper,0.02674,-0.607844
0.20,upper,0.03401,-0.762593
0.20,upper,0.04180,-0.756969
0.20,upper,0.05566,-0.733618
0.20,upper,0.06423,-0.744053
0.20,upper,0.06499,-0.714442
0.20,upper,0.07381,-0.640616
0.20,upper,0.08790,-0.544126
0.20,upper,0.09670,-0.549460
0.20,upper,0.10431,-0.538269
0.20,upper,0.11316,-0.526520
0.20,upper,0.12033,-0.512560
0.20,upper,0.12919,-0.526956
0.20,upper,0.14388,-0.510095
0.20,upper,0.15276,-0.509058
0.20,upper,0.15328,-0.508734
0.20,upper,0.16216,-0.495760
0.20,upper,0.17632,-0.491752
0.20,upper,0.18521,-0.497477
0.20,upper,0.19358,-0.497019
0.20,upper,0.20247,-0.496058
0.20,upper,0.20878,-0.499645
0.20,upper,0.21768,-0.501933
0.20,upper,0.23236,-0.499412
0.20,upper,0.24126,-0.498890
0.20,upper,0.24285,-0.499018
0.20,upper,0.25175,-0.495400
0.20,upper,0.26484,-0.511929
0.20,upper,0.27374,-0.511656
0.20,upper,0.28327,-0.519235
0.20,upper,0.29218,-0.514532
0.20,upper,0.29734,-0.526812
0.20,upper,0.30624,-0.529437
0.20,upper,0.32092,-0.534168
0.20,upper,0.32982,-0.529718
0.20,upper,0.33264,-0.532969
0.20,upper,0.34155,-0.529920
0.20,upper,0.35339,-0.552604
0.20,upper,0.36231,-0.551207
0.20,upper,0.37317,-0.569286
0.20,upper,0.38206,-0.566643
0.20,upper,0.38590,-0.575909
0.20,upper,0.39480,-0.571860
0.20,upper,0.40948,-0.573671
0.20,upper,0.41838,-0.576488
0.20,upper,0.42249,-0.592984
0.20,upper,0.43141,-0.594407
0.20,upper,0.44193,-0.591574
0.20,upper,0.45085,-0.596263
0.20,upper,0.46303,-0.598881
0.20,upper,0.47193,-0.598810
0.20,upper,0.47444,-0.589019
0.20,upper,0.48336,-0.589555
0.20,upper,0.49803,-0.591001
0.20,upper,0.50691,-0.590218
0.20,upper,0.51240,-0.591824
0.20,upper,0.52130,-0.589032
0.20,upper,0.53047,-0.571905
0.20,upper,0.53937,-0.566794
0.20,upper,0.55282,-0.564529
0.20,upper,0.56171,-0.557032
0.20,upper,0.56291,-0.534490
0.20,upper,0.57180,-0.538177
0.20,upper,0.58644,-0.506811
0.20,upper,0.59533,-0.504051
0.20,upper,0.60212,-0.475160
0.20,upper,0.61101,-0.472824
0.20,upper,0.61887,-0.423539
0.20,upper,0.62775,-0.428256
0.20,upper,0.64239,-0.374431
0.20,upper,0.65127,-0.373558
0.20,upper,0.65138,-0.324617
0.20,upper,0.66026,-0.320460
0.20,upper,0.67478,-0.270415
0.20,upper,0.68366,-0.271935
0.20,upper,0.69172,-0.211624
0.20,upper,0.70060,-0.209053
0.20,upper,0.70717,-0.183827
0.20,upper,0.71604,-0.182624
0.20,upper,0.73067,-0.159921
0.20,upper,0.73954,-0.158205
0.20,upper,0.74091,-0.137496
0.20,upper,0.74978,-0.134251
0.20,upper,0.76304,-0.113219
0.20,upper,0.77191,-0.111595
0.20,upper,0.78120,-0.098217
0.20,upper,0.79007,-0.097284
0.20,upper,0.79540,-0.073804
0.20,upper,0.80426,-0.075422
0.20,upper,0.81888,-0.060021
0.20,upper,0.82774,-0.058388
0.20,upper,0.83032,-0.034433
0.20,upper,0.83918,-0.032028
0.20,upper,0.85121,-0.017176
0.20,upper,0.86007,-0.017787
0.20,upper,0.87052,0.011232
0.20,upper,0.87938,0.013980
0.20,upper,0.88353,0.035361
0.20,upper,0.89238,0.035109
0.20,upper,0.90697,0.071050
0.20,upper,0.91581,0.068545
0.20,upper,0.91972,0.112294
0.20,upper,0.92882,0.117312
0.20,upper,0.93961,0.171269
0.20,upper,0.94963,0.167767
0.20,upper,0.96288,0.219649
0.20,upper,0.97061,0.227459
0.20,upper,0.97119,0.293655
0.20,upper,0.97705,0.276427
0.20,upper,0.98452,0.321433
0.20,upper,0.98924,0.329904
0.20,upper,0.99544,0.382555
0.20,upper,0.99997,0.392231
0.20,lower,0.00000,0.868226
0.20,lower,0.00118,0.877653
0.20,lower,0.00361,0.637070
0.20,lower,0.00685,0.653547
0.20,lower,0.01061,0.442776
0.20,lower,0.01776,0.223446
0.20,lower,0.02592,0.071994
0.20,lower,0.03696,0.034005
0.20,lower,0.04622,0.014789
0.20,lower,0.05191,-0.009872
0.20,lower,0.06125,-0.007010
0.20,lower,0.06688,-0.007875
0.20,lower,0.07624,0.008263
0.20,lower,0.08762,-0.014194
0.20,lower,0.09699,-0.029348
0.20,lower,0.10840,-0.031148
0.20,lower,0.11779,-0.039433
0.20,lower,0.12922,-0.048933
0.20,lower,0.13860,-0.070657
0.20,lower,0.15005,-0.067446
0.20,lower,0.15946,-0.067180
0.20,lower,0.16095,-0.085659
0.20,lower,0.17035,-0.083283
0.20,lower,0.18033,-0.091551
0.20,lower,0.18974,-0.094520
0.20,lower,0.20121,-0.101685
0.20,lower,0.21062,-0.108664
0.20,lower,0.22211,-0.117045
0.20,lower,0.23153,-0.128464
0.20,lower,0.24302,-0.128564
0.20,lower,0.25244,-0.138666
0.20,lower,0.26017,-0.147567
0.20,lower,0.26958,-0.147656
0.20,lower,0.27335,-0.150902
0.20,lower,0.28277,-0.156245
0.20,lower,0.29427,-0.164223
0.20,lower,0.30369,-0.175056
0.20,lower,0.31520,-0.181935
0.20,lower,0.32461,-0.189091
0.20,lower,0.33612,-0.201638
0.20,lower,0.34554,-0.211776
0.20,lower,0.35707,-0.205462
0.20,lower,0.36650,-0.211470
0.20,lower,0.36859,-0.225061
0.20,lower,0.37800,-0.224123
0.20,lower,0.38742,-0.234134
0.20,lower,0.39683,-0.238689
0.20,lower,0.40835,-0.232625
