side,level,alpha,converged,n_outer,wall_s,gamma,nlim,nflr,res_final,n_te_nodes,n_aux_farfield,n_cut,corr_mmax,corr_x,corr_z,sheet_mmax,sheet_x,sheet_z,tip_mmax,tip_x,tip_z,n_sup,n_sup_corr,top_med_abs_s,top_med_q,top_med_x,pocket_peak_x,pocket_past_tail,cl_p,cl_fus,cl_fus_band,cl_fus_out,cl_fus_poles
A,medium,0.0,True,16,251.38376209698617,7.437968286545527e-06,-1,-1,8.313074317811697e-08,150,1,30177,0.6170224196440748,1.788057807412468,0.05832756167519804,0.6158335469959264,2.3984837301134325,0.02387784830621239,0.6546649728332953,0.6959837805024192,1.1993582864541787,0,0,0.012228218141742492,1.079390724117407,0.6966844625594422,1.788057807412468,False,5.307631129695831e-05,4.97987468778004e-06,8.973317920712978e-05,-8.475330451934864e-05,6.232032680484753e-06
A,medium,2.0,True,67,1083.7990170940757,0.0416024484441377,-1,-1,7.538815616214833e-08,150,4,11141,1.7106630095073674,1.5662428297398872,0.1506541525597356,1.7106630095073674,1.5662428297398872,0.1506541525597356,1.0385266357481073,1.1354808585834821,1.19708956367095,28,27,0.010053857855783752,0.001972958586662374,1.8830595753843102,1.5662428297398872,False,0.13692447739238256,0.014174762436637981,0.0006127352792599393,0.013562027157378033,-0.0002286279847035196
A,medium,3.06,True,59,834.3410833887756,0.064319113649914,-1,-1,9.794032251875251e-08,150,4,8805,14.662489237919898,2.131130988812329,0.1562324183620544,14.662489237919898,2.131130988812329,0.1562324183620544,4.552510923410519,1.1354808585834821,1.19708956367095,104,88,0.005784600194369216,-0.002912655549692093,2.0155972280524517,2.131130988812329,False,0.21173079701472794,0.035711107154009054,0.014335227134308135,0.021375880019700914,-0.00012087096858746829
A,coarse,0.0,True,17,8.79797470383346,-0.00018427146082759292,-1,-1,7.574205787563848e-08,76,0,1583,0.5916586275707235,2.400468578902311,0.0270392474108126,0.5916586275707235,2.400468578902311,0.0270392474108126,0.6415718959619086,0.6895566245297261,1.181420620823468,0,0,0.017184554693179525,0.9676704626922792,0.6891796052388277,2.400468578902311,True,-0.0005426185379709735,-0.00023602756932811523,0.0005306018497445635,-0.00076662941907268,-1.506505364529671e-05
A,coarse,3.06,True,32,16.144013423472643,0.06314747038602847,-1,-1,9.762965191839612e-08,76,4,1503,1.141893040984829,2.079594157197837,0.14597112891545197,1.141893040984829,2.079594157197837,0.14597112891545197,1.1202648283856045,1.150251531739645,1.1938973492812905,10,8,0.04276632439084381,0.5190511913177194,0.6013462734442513,2.079594157197837,False,0.2086658723898317,0.032236849886590896,0.00898642224238895,0.02325042764420196,-0.00029391587426614153
B1,medium,0.0,True,16,245.32898812182248,7.675665362156029e-06,0,0,8.42883309815079e-08,150,5,34089,0.6170189139440376,1.788057807412468,0.05832756167519804,0.615870511566534,2.3984837301134325,0.02387784830621239,0.6546653233208063,0.6959837805024192,1.1993582864541787,0,0,0.012228218141742492,16.797614855385387,0.6966844625594422,1.788057807412468,False,5.388645087088937e-05,9.600567845282258e-06,9.111690938266349e-05,-8.151634153737673e-05,6.250591562317162e-06
B1,medium,2.0,True,49,686.5781020801514,0.042161363327833115,0,0,6.14308532931318e-08,150,5,15202,5.584570259747489,2.483254591641742,0.0042481344824574635,5.584570259747489,2.483254591641742,0.0042481344824574635,1.081392997833467,1.1354808585834821,1.19708956367095,7,6,0.0331714637985544,16.396386007636536,0.4904782911124621,2.483254591641742,True,0.1388159697612992,0.02012579942545778,-0.00037347137173945373,0.020499270797197242,0.00018289425819889625
B1,medium,3.06,False,80,1365.828554380685,0.06220943088790963,0,0,1.84375,150,5,12938,78.5614780679853,2.4405144568541433,0.03313374781050764,78.5614780679853,2.4405144568541433,0.03313374781050764,4.182778205228012,1.1354808585834821,1.19708956367095,1634,1619,0.0018144363712424413,14.182131999742744,2.408652301656268,2.4405144568541433,True,0.19876728219754292,0.010692936835023405,-0.0030350501835570485,0.013727987018580454,-0.005822590737850578
B1,coarse,0.0,True,20,9.461469700559974,-0.0001687630613023671,0,0,8.527243267053564e-08,76,4,2363,0.5911529905809171,2.400468578902311,0.0270392474108126,0.5911529905809171,2.400468578902311,0.0270392474108126,0.6415637609636496,0.6895566245297261,1.181420620823468,0,0,0.017236083850945175,16.68589459396026,0.6891796052388277,2.400468578902311,True,-0.00048805748365607105,-0.0002398491740286639,0.0005283903734021179,-0.0007682395474307773,-1.7766283867073415e-05
B1,coarse,3.06,True,49,25.947989707812667,0.06198217072785647,0,0,2.690523785986443e-07,76,5,2381,28.594097413893362,2.4799015017188504,0.007092096124043536,28.594097413893362,2.4799015017188504,0.007092096124043536,1.7765482161727293,1.1544801946387842,1.1975646673140439,15,4,0.047253794748343216,16.41152777663985,0.4985857522715841,2.4799015017188504,True,0.20475772701132644,0.02825378000823608,-0.00042540133918623054,0.028679181347422315,3.463782255428891e-05
