metric,value
G0.1 max relative volume error,1.11e-16
G0.2 max linear-field gradient error,1.46e-13
G0.3 coloring valid on all 4 mesh families,True
G0.4 max round-trip difference,0.0e+00
runtime_seconds,2.1
