x,phi_minus,phi_plus,jump
4.672307,4.37544560,4.67544560,3.000e-01
4.672307,4.37544556,4.67544556,3.000e-01
4.732129,4.43521793,4.73521793,3.000e-01
4.732129,4.43521798,4.73521798,3.000e-01
4.791950,4.49499104,4.79499104,3.000e-01
4.791950,4.49499098,4.79499098,3.000e-01
4.851772,4.55476431,4.85476431,3.000e-01
4.851772,4.55476435,4.85476435,3.000e-01
4.911593,4.61453824,4.91453824,3.000e-01
4.911593,4.61453819,4.91453819,3.000e-01
4.971415,4.67431234,4.97431234,3.000e-01
4.971415,4.67431234,4.97431234,3.000e-01
5.031236,4.73408759,5.03408759,3.000e-01
5.031236,4.73408795,5.03408795,3.000e-01
5.091058,4.79386567,5.09386567,3.000e-01
5.091058,4.79386553,5.09386553,3.000e-01
5.150879,4.85364608,5.15364608,3.000e-01
5.150879,4.85364593,5.15364593,3.000e-01
5.210701,4.91342641,5.21342641,3.000e-01
5.210701,4.91342620,5.21342620,3.000e-01
5.270522,4.97320906,5.27320906,3.000e-01
5.270522,4.97320904,5.27320904,3.000e-01
5.330344,5.03299179,5.33299179,3.000e-01
5.330344,5.03299214,5.33299214,3.000e-01
5.390165,5.09277633,5.39277633,3.000e-01
5.390165,5.09277643,5.39277643,3.000e-01
5.449987,5.15256191,5.45256191,3.000e-01
5.449987,5.15256193,5.45256193,3.000e-01
5.509808,5.21234828,5.51234828,3.000e-01
5.509808,5.21234822,5.51234822,3.000e-01
5.569630,5.27213540,5.57213540,3.000e-01
5.569630,5.27213545,5.57213545,3.000e-01
5.629451,5.33192328,5.63192328,3.000e-01
5.629451,5.33192324,5.63192324,3.000e-01
5.689273,5.39171181,5.69171181,3.000e-01
5.689273,5.39171181,5.69171181,3.000e-01
5.749094,5.45150055,5.75150055,3.000e-01
5.749094,5.45150054,5.75150054,3.000e-01
5.808916,5.51129002,5.81129002,3.000e-01
5.808916,5.51129004,5.81129004,3.000e-01
5.868737,5.57108022,5.87108022,3.000e-01
5.868737,5.57108020,5.87108020,3.000e-01
5.928559,5.63087078,5.93087078,3.000e-01
5.928559,5.63087058,5.93087058,3.000e-01
5.988380,5.69066166,5.99066166,3.000e-01
5.988380,5.69066175,5.99066175,3.000e-01
6.048202,5.75045281,6.05045281,3.000e-01
6.048202,5.75045282,6.05045282,3.000e-01
6.108023,5.81024431,6.11024431,3.000e-01
6.108023,5.81024426,6.11024426,3.000e-01
6.167845,5.87003630,6.17003630,3.000e-01
6.167845,5.87003631,6.17003631,3.000e-01
6.227666,5.92982885,6.22982885,3.000e-01
6.227666,5.92982886,6.22982886,3.000e-01
6.287488,5.98962172,6.28962172,3.000e-01
6.287488,5.98962172,6.28962172,3.000e-01
