h_shock,h_wall,level,n_band_nodes,n_elements,n_nodes
0.039080976000000045,0.04,xcoarse,3,4044,1676
0.019925847499999982,0.02,coarse,5,16386,6106
0.009963646999999964,0.01,medium,10,61788,21874
0.004981648999999977,0.005,fine,20,239460,82356
