dof,kind,x,z,residual
4452,main,12.510,0.000,-84.457
13304,main,10.813,3.588,65.608
14139,main,13.297,2.797,-26.233
13288,main,7.253,2.420,-8.997
3641,main,9.684,0.000,-6.466
3638,main,7.996,0.000,-1.897
3642,main,11.426,0.000,-1.728
10813,main,9.505,5.218,1.311
