case,model,turb_model,level,mach,surface,has_shock,x_shock,n_cells,monotone,cp_min,cp_pre_shock,cp_post_shock,cp_critical
n0012_m0500_a2.00,euler,none,L1,0.5000,upper,0,,0,1,-0.920679,,,-2.133403
n0012_m0500_a2.00,euler,none,L1,0.5000,lower,0,,0,1,-0.249254,,,-2.133403
n0012_m0500_a2.00,euler,none,L2,0.5000,upper,0,,0,1,-0.921862,,,-2.133403
n0012_m0500_a2.00,euler,none,L2,0.5000,lower,0,,0,1,-0.249061,,,-2.133403
n0012_m0500_a2.00,euler,none,L3,0.5000,upper,0,,0,1,-0.922390,,,-2.133403
n0012_m0500_a2.00,euler,none,L3,0.5000,lower,0,,0,1,-0.248911,,,-2.133403
n0012_m0720_a0.00,euler,none,L1,0.7200,upper,0,,0,1,-0.668365,,,-0.699587
n0012_m0720_a0.00,euler,none,L1,0.7200,lower,0,,0,1,-0.668365,,,-0.699587
n0012_m0720_a0.00,euler,none,L2,0.7200,upper,0,,0,1,-0.668561,,,-0.699587
n0012_m0720_a0.00,euler,none,L2,0.7200,lower,0,,0,1,-0.668561,,,-0.699587
n0012_m0720_a0.00,euler,none,L3,0.7200,upper,0,,0,1,-0.668704,,,-0.699587
n0012_m0720_a0.00,euler,none,L3,0.7200,lower,0,,0,1,-0.668704,,,-0.699587
n0012_m0750_a0.00,euler,none,L1,0.7500,upper,1,0.285017,2,1,-0.778977,-0.765312,-0.546239,-0.591206
n0012_m0750_a0.00,euler,none,L1,0.7500,lower,1,0.285017,2,1,-0.778977,-0.765312,-0.546239,-0.591206
n0012_m0750_a0.00,euler,none,L2,0.7500,upper,1,0.277756,1,1,-0.779017,-0.777738,-0.554706,-0.591206
n0012_m0750_a0.00,euler,none,L2,0.7500,lower,1,0.277756,1,1,-0.779017,-0.777738,-0.554706,-0.591206
n0012_m0750_a0.00,euler,none,L3,0.7500,upper,1,0.295782,83,1,-0.778999,-0.764677,-0.528713,-0.591206
n0012_m0750_a0.00,euler,none,L3,0.7500,lower,1,0.295782,83,1,-0.778999,-0.764677,-0.528713,-0.591206
n0012_m0778_a2.03,euler,none,L1,0.7780,upper,1,0.606137,2,1,-1.260866,-1.260833,-0.023380,-0.500201
n0012_m0778_a2.03,euler,none,L1,0.7780,lower,0,,0,1,-0.391207,,,-0.500201
n0012_m0778_a2.03,euler,none,L2,0.7780,upper,1,0.604263,2,1,-1.262619,-1.260446,-0.028951,-0.500201
n0012_m0778_a2.03,euler,none,L2,0.7780,lower,0,,0,1,-0.391073,,,-0.500201
n0012_m0778_a2.03,euler,none,L3,0.7780,upper,1,0.602806,2,1,-1.263534,-1.260688,-0.033031,-0.500201
n0012_m0778_a2.03,euler,none,L3,0.7780,lower,0,,0,1,-0.391081,,,-0.500201
n0012_m0800_a1.25,euler,none,L1,0.8000,upper,1,0.644534,2,1,-1.129730,-1.129502,0.017701,-0.434640
n0012_m0800_a1.25,euler,none,L1,0.8000,lower,1,0.356991,1,1,-0.625294,-0.621756,-0.385504,-0.434640
n0012_m0800_a1.25,euler,none,L2,0.8000,upper,1,0.642971,1,1,-1.132073,-1.128898,0.013473,-0.434640
n0012_m0800_a1.25,euler,none,L2,0.8000,lower,1,0.350301,2,1,-0.624520,-0.624210,-0.393422,-0.434640
n0012_m0800_a1.25,euler,none,L3,0.8000,upper,1,0.641264,2,1,-1.132745,-1.128786,0.009934,-0.434640
n0012_m0800_a1.25,euler,none,L3,0.8000,lower,1,0.347735,2,1,-0.624939,-0.624718,-0.395582,-0.434640
n0012_m0803_am0.10,euler,none,L1,0.8030,upper,1,0.515780,2,1,-0.910481,-0.909535,-0.110796,-0.426069
n0012_m0803_am0.10,euler,none,L1,0.8030,lower,1,0.540250,1,1,-0.951594,-0.949792,-0.081045,-0.426069
n0012_m0803_am0.10,euler,none,L2,0.8030,upper,1,0.514702,1,1,-0.914999,-0.911216,-0.118350,-0.426069
n0012_m0803_am0.10,euler,none,L2,0.8030,lower,1,0.537155,2,1,-0.950279,-0.948227,-0.087945,-0.426069
n0012_m0803_am0.10,euler,none,L3,0.8030,upper,1,0.512865,2,1,-0.914630,-0.911039,-0.122624,-0.426069
n0012_m0803_am0.10,euler,none,L3,0.8030,lower,1,0.536110,1,1,-0.951781,-0.948574,-0.092245,-0.426069
