x_c,y_c,cp,mach_local,surface
0.292878,0.059997,-0.838115,1.206940,upper
0.300625,0.060007,-0.843752,1.210070,upper
0.308490,0.059989,-0.849201,1.213105,upper
0.316472,0.059943,-0.854460,1.216040,upper
0.324570,0.059870,-0.859526,1.218876,upper
0.332780,0.059767,-0.864397,1.221608,upper
0.341102,0.059637,-0.869068,1.224235,upper
0.349533,0.059477,-0.873537,1.226754,upper
0.358070,0.059288,-0.877802,1.229163,upper
0.366710,0.059071,-0.881859,1.231460,upper
0.375451,0.058825,-0.885705,1.233641,upper
0.384290,0.058549,-0.889338,1.235706,upper
0.393224,0.058245,-0.892754,1.237650,upper
0.402248,0.057913,-0.895949,1.239472,upper
0.411361,0.057551,-0.898920,1.241169,upper
0.420558,0.057162,-0.901664,1.242739,upper
0.429835,0.056745,-0.904175,1.244177,upper
0.439188,0.056299,-0.906449,1.245481,upper
0.448614,0.055827,-0.908481,1.246649,upper
0.458108,0.055328,-0.910256,1.247669,upper
0.467665,0.054802,-0.911830,1.248576,upper
0.477282,0.054251,-0.912885,1.249179,upper
0.486953,0.053674,-0.914630,1.250189,upper
0.496674,0.053072,-0.913146,1.249421,upper
0.506439,0.052446,-0.704965,1.124226,upper
0.516245,0.051797,-0.279352,0.908804,upper
0.526086,0.051125,-0.070162,0.817611,upper
0.535957,0.050430,-0.089624,0.826195,upper
0.545853,0.049715,-0.104792,0.833172,upper
0.555769,0.048978,-0.116609,0.838624,upper
0.565699,0.048222,-0.125027,0.842522,upper
0.575639,0.047446,-0.130726,0.845162,upper
0.585582,0.046652,-0.134174,0.846763,upper
0.595525,0.045841,-0.135809,0.847522,upper
0.605460,0.045013,-0.135934,0.847581,upper
0.615384,0.044170,-0.134802,0.847057,upper
0.625291,0.043311,-0.132615,0.846044,upper
0.635175,0.042438,-0.129541,0.844620,upper
0.645033,0.041552,-0.125717,0.842848,upper
0.654857,0.040654,-0.121257,0.840783,upper
0.664645,0.039744,-0.116256,0.838467,upper
0.674389,0.038824,-0.110792,0.835938,upper
0.684087,0.037893,-0.104931,0.833225,upper
0.693732,0.036954,-0.098725,0.830354,upper
0.703321,0.036007,-0.092220,0.827345,upper
0.712848,0.035052,-0.085451,0.824216,upper
0.722310,0.034091,-0.078449,0.820979,upper
0.731701,0.033124,-0.071238,0.817646,upper
0.741018,0.032153,-0.063836,0.814227,upper
0.750258,0.031177,-0.056260,0.810727,upper
0.759415,0.030198,-0.048521,0.807153,upper
0.768486,0.029216,-0.040627,0.803507,upper
0.777468,0.028233,-0.032585,0.799794,upper
0.786357,0.027248,-0.024397,0.796013,upper
0.795150,0.026263,-0.016064,0.792166,upper
0.803844,0.025278,-0.007586,0.788252,upper
0.812437,0.024294,0.001039,0.784270,upper
0.820924,0.023312,0.009818,0.780216,upper
0.829305,0.022332,0.018755,0.776089,upper
0.837576,0.021355,0.027861,0.771883,upper
0.845735,0.020381,0.037143,0.767594,upper
0.853780,0.019411,0.046616,0.763216,upper
0.861710,0.018446,0.056294,0.758742,upper
0.869523,0.017485,0.066194,0.754163,upper
0.877216,0.016531,0.076335,0.749469,upper
0.884790,0.015582,0.086743,0.744650,upper
0.892243,0.014640,0.097444,0.739691,upper
0.899573,0.013705,0.108472,0.734576,upper
0.906780,0.012778,0.119866,0.729288,upper
0.913864,0.011858,0.131673,0.723801,upper
0.920823,0.010947,0.143951,0.718089,upper
0.927658,0.010044,0.156771,0.712117,upper
0.934368,0.009150,0.170223,0.705842,upper
0.940953,0.008266,0.184420,0.699207,upper
0.947413,0.007392,0.199513,0.692139,upper
0.953748,0.006527,0.215703,0.684540,upper
0.959959,0.005673,0.233272,0.676270,upper
0.966046,0.004829,0.252639,0.667127,upper
0.972010,0.003996,0.274409,0.656788,upper
0.977850,0.003174,0.299701,0.644742,upper
0.983569,0.002363,0.329950,0.629983,upper
0.989166,0.001564,0.368564,0.610890,upper
0.994643,0.000776,0.408156,0.581035,upper
1.000000,0.000000,0.494588,0.546680,upper
0.000000,0.000000,1.171412,0.007750,lower
0.000003,-0.000311,1.170423,0.022645,lower
0.000013,-0.000632,1.168279,0.037924,lower
0.000029,-0.000963,1.164807,0.053671,lower
0.000054,-0.001304,1.160013,0.069878,lower
0.000087,-0.001656,1.153772,0.086551,lower
0.000130,-0.002018,1.146000,0.103681,lower
0.000182,-0.002391,1.136602,0.121259,lower
0.000246,-0.002775,1.125496,0.139269,lower
0.000321,-0.003170,1.112611,0.157690,lower
0.000410,-0.003575,1.097889,0.176498,lower
0.000512,-0.003990,1.081289,0.195661,lower
0.000628,-0.004417,1.062790,0.215147,lower
0.000760,-0.004853,1.042389,0.234916,lower
0.000908,-0.005300,1.020107,0.254927,lower
0.001074,-0.005757,0.995984,0.275138,lower
0.001258,-0.006224,0.970083,0.295501,lower
0.001462,-0.006700,0.942491,0.315969,lower
0.001686,-0.007186,0.913312,0.336492,lower
0.001931,-0.007681,0.882677,0.357017,lower
0.002198,-0.008184,0.850729,0.377492,lower
0.002488,-0.008695,0.817630,0.397864,lower
0.002801,-0.009215,0.783551,0.418083,lower
0.003139,-0.009742,0.748669,0.438101,lower
0.003503,-0.010276,0.713163,0.457873,lower
0.003893,-0.010817,0.677207,0.477362,lower
0.004310,-0.011365,0.640965,0.496532,lower
0.004755,-0.011919,0.604591,0.515355,lower
0.005228,-0.012479,0.568231,0.533808,lower
0.005730,-0.013044,0.532017,0.551871,lower
0.006262,-0.013615,0.496074,0.569524,lower
0.006825,-0.014191,0.460516,0.586752,lower
0.007419,-0.014771,0.425443,0.603546,lower
0.008045,-0.015356,0.390939,0.619897,lower
0.008704,-0.015946,0.357071,0.635805,lower
0.009396,-0.016539,0.323892,0.651271,lower
0.010123,-0.017137,0.291440,0.666300,lower
0.010885,-0.017738,0.259742,0.680899,lower
0.011682,-0.018342,0.228817,0.695077,lower
0.012516,-0.018951,0.198674,0.708844,lower
0.013387,-0.019562,0.169317,0.722210,lower
0.014297,-0.020177,0.140746,0.735188,lower
0.015245,-0.020794,0.112953,0.747788,lower
0.016234,-0.021415,0.085929,0.760025,lower
0.017263,-0.022039,0.059660,0.771909,lower
0.018334,-0.022665,0.034131,0.783454,lower
0.019448,-0.023294,0.009324,0.794672,lower
0.020605,-0.023925,-0.014782,0.805576,lower
0.021808,-0.024559,-0.038206,0.816178,lower
0.023056,-0.025196,-0.060970,0.826490,lower
0.024350,-0.025835,-0.083096,0.836525,lower
0.025693,-0.026475,-0.104607,0.846296,lower
0.027085,-0.027118,-0.125525,0.855813,lower
0.028527,-0.027763,-0.145873,0.865087,lower
0.030021,-0.028410,-0.165673,0.874130,lower
0.031567,-0.029059,-0.184947,0.882953,lower
0.033167,-0.029709,-0.203718,0.891565,lower
0.034823,-0.030361,-0.222005,0.899976,lower
0.036535,-0.031014,-0.239830,0.908195,lower
