x_c,side,ds_ours,ds_xfoil,err_ds,cf_ours,cf_xfoil,err_cf,cf_ours_localframe,err_cf_localframe,window
0.781818,upper,2.450579e-03,3.188812e-03,-0.2315,2.607305e-03,2.530272e-03,+0.0304,2.406015e-03,-0.0491,banded
0.801688,upper,2.523029e-03,3.321957e-03,-0.2405,2.526641e-03,2.454302e-03,+0.0295,2.368178e-03,-0.0351,banded
0.821553,upper,2.601708e-03,3.466969e-03,-0.2496,2.445991e-03,2.374909e-03,+0.0299,2.330771e-03,-0.0186,banded
0.841411,upper,2.688531e-03,3.626630e-03,-0.2587,2.361127e-03,2.288011e-03,+0.0320,2.291055e-03,+0.0013,banded
0.861262,upper,2.779630e-03,3.807251e-03,-0.2699,2.257353e-03,2.195064e-03,+0.0284,2.235116e-03,+0.0182,banded
0.881106,upper,2.891634e-03,4.013645e-03,-0.2795,2.151010e-03,2.090980e-03,+0.0287,2.179181e-03,+0.0422,banded
0.900943,upper,3.008461e-03,4.257573e-03,-0.2934,2.043917e-03,1.975041e-03,+0.0349,2.125177e-03,+0.0760,banded
0.920772,upper,3.178504e-03,4.554525e-03,-0.3021,1.896255e-03,1.842061e-03,+0.0294,2.028052e-03,+0.1010,banded
0.940593,upper,3.493568e-03,4.930205e-03,-0.2914,1.780314e-03,1.687419e-03,+0.0551,1.973403e-03,+0.1695,banded
0.960405,upper,3.831734e-03,5.426826e-03,-0.2939,1.405742e-03,1.504131e-03,-0.0654,1.649894e-03,+0.0969,te
0.980207,upper,3.929622e-03,6.136957e-03,-0.3597,1.459621e-03,1.283116e-03,+0.1376,1.758605e-03,+0.3706,te
1.000000,upper,4.541641e-03,7.131000e-03,-0.3631,1.042722e-03,1.034000e-03,+0.0084,1.341121e-03,+0.2970,te
0.000000,lower,1.473607e-07,4.100000e-05,-0.9964,1.442532e+00,5.138000e-03,+279.7576,6.328775e+00,+1230.7584,pinned
0.009658,lower,2.068681e-04,6.947631e-05,+1.9775,1.084750e-03,4.761834e-03,-0.7722,4.524648e-03,-0.0498,pinned
0.026780,lower,1.043035e-04,1.143250e-04,-0.0877,4.093185e-03,3.947138e-03,+0.0370,6.319771e-03,+0.6011,le
0.045445,lower,1.693397e-04,1.549582e-04,+0.0928,2.692878e-03,3.154806e-03,-0.1464,2.946299e-03,-0.0661,le
0.064677,lower,2.015483e-04,1.588567e-04,+0.2687,5.390003e-03,5.692192e-03,-0.0531,5.219318e-03,-0.0831,banded
0.084192,lower,2.642256e-04,2.077714e-04,+0.2717,5.589888e-03,5.417496e-03,+0.0318,5.091392e-03,-0.0602,banded
0.103870,lower,2.862297e-04,2.666177e-04,+0.0736,5.720963e-03,5.289440e-03,+0.0816,5.033234e-03,-0.0484,banded
0.123653,lower,3.868088e-04,3.253411e-04,+0.1889,5.324600e-03,5.091977e-03,+0.0457,4.574454e-03,-0.1016,banded
0.143504,lower,4.988977e-04,3.823502e-04,+0.3048,5.044965e-03,4.940176e-03,+0.0212,4.259979e-03,-0.1377,banded
0.163403,lower,6.062844e-04,4.380694e-04,+0.3840,4.841486e-03,4.811016e-03,+0.0063,4.040529e-03,-0.1602,banded
