k,ds_max,ds_change_rel,ds_neg_floored,mdot_max,ibl_n_iter,ibl_converged,ibl_final_residual,inflow_n_pinned,cl,cd_p
0,,,,0.0,,,,,0.27758976747099867,0.0049704581072887895
1,0.004572735492141916,inf,0,0.021529176095181318,34,False,3.300790105428792e-06,6,0.2678652942313099,0.005739218528929273
2,0.004583064990448498,0.007170842649598347,0,0.022318586582993377,100,False,3.1453607085804287e-06,,0.2679998963620529,0.005721523432311467
3,0.004602137240689448,0.007916372584922237,0,0.022743271869790794,100,False,3.1101911350629642e-06,,0.2677516527062038,0.00573290574270488
4,0.0046022354270675745,0.00018852774470896742,0,0.022736002798123284,20,False,3.1130100655042964e-06,,0.26776442847776416,0.0057327518521813866
