state,arm,eta,rule,j1,foot,signed
W M0.76,P0,0.2,percell,0.09665157376317704,0.13970839176678512,0.04305681800360808
W M0.76,P0,0.2,subcell,0.09665157376317704,0.13971005292818917,0.043058479165012126
W M0.76,P0,0.44,percell,0.17779935827254914,0.19642665781655244,0.0186272995440033
W M0.76,P0,0.44,subcell,0.17779935827254914,0.19654535411690488,0.01874599584435574
W M0.76,P0,0.65,percell,0.22080039520713624,0.23954803179074832,0.018747636583612087
W M0.76,P0,0.65,subcell,0.22080039520713624,0.2411898256764433,0.02038943046930705
W M0.76,P0,0.8,percell,0.19837389285581794,0.9783472120176484,0.7799733191618304
W M0.76,P0,0.8,subcell,0.19837389285581794,0.9795693699416724,0.7811954770858545
W M0.76,P0,0.9,percell,0.18512968070615557,0.2506719044554258,0.06554222374927024
W M0.76,P0,0.9,subcell,0.18512968070615557,0.25085391398878953,0.06572423328263396
W M0.76,P0,0.96,percell,0.14893793943010655,0.9856717028026137,0.8367337633725072
W M0.76,P0,0.96,subcell,0.14893793943010655,0.9858357585807929,0.8368978191506863
W M0.76,P0,0.99,percell,0.08296773969575051,0.9785004028722927,0.8955326631765421
W M0.76,P0,0.99,subcell,0.08296773969575051,0.9785084566954448,0.8955407169996943
W M0.76,P1,0.44,percell,0.17779935827254914,0.23006894584466106,0.05226958757211192
W M0.76,P1,0.44,subcell,0.17779935827254914,0.23012184817245004,0.052322489899900904
W M0.76,P1,0.65,percell,0.22080039520713624,0.20234678999021552,-0.018453605216920715
W M0.76,P1,0.65,subcell,0.22080039520713624,0.20423019162594294,-0.016570203581193294
W M0.76,P1,0.8,percell,0.19837389285581794,0.21445345855822417,0.016079565702406234
W M0.76,P1,0.8,subcell,0.19837389285581794,0.2145569569182678,0.016183064062449848
W M0.76,P1,0.9,percell,0.18512968070615557,0.21397731049088595,0.028847629784730378
W M0.76,P1,0.9,subcell,0.18512968070615557,0.21423320512439384,0.02910352441823827
W M0.76,P1,0.96,percell,0.14893793943010655,0.17447455675457713,0.025536617324470573
W M0.76,P1,0.96,subcell,0.14893793943010655,0.17458660543670895,0.0256486660066024
W M0.76,P1,0.99,percell,0.08296773969575051,0.9692655512600036,0.886297811564253
W M0.76,P1,0.99,subcell,0.08296773969575051,0.9692682656213736,0.886300525925623
W M0.76,P2,0.44,percell,0.17779935827254914,0.1957220126902602,0.01792265441771107
W M0.76,P2,0.44,subcell,0.17779935827254914,0.19637399742097897,0.018574639148429828
W M0.76,P2,0.65,percell,0.22080039520713624,0.2049208356173386,-0.015879559589797643
W M0.76,P2,0.65,subcell,0.22080039520713624,0.2049793973933561,-0.01582099781378013
W M0.76,P2,0.8,percell,0.19837389285581794,0.2327824732053585,0.03440858034954056
W M0.76,P2,0.8,subcell,0.19837389285581794,0.23280380836248923,0.034429915506671294
W M0.76,P2,0.9,percell,0.18512968070615557,0.22957780078478493,0.04444812007862936
W M0.76,P2,0.9,subcell,0.18512968070615557,0.2300592905566198,0.044929609850464236
W M0.76,P2,0.96,percell,0.14893793943010655,0.1722471416456167,0.02330920221551014
W M0.76,P2,0.96,subcell,0.14893793943010655,0.17226606429269922,0.02332812486259267
W M0.76,P2,0.99,percell,0.08296773969575051,0.13302799654908362,0.05006025685333311
W M0.76,P2,0.99,subcell,0.08296773969575051,0.13311540566591276,0.05014766597016225
W M0.76,P3,0.44,percell,0.17779935827254914,0.19642665781655244,0.0186272995440033
W M0.76,P3,0.44,subcell,0.17779935827254914,0.19652180541548153,0.01872244714293239
W M0.76,P3,0.65,percell,0.22080039520713624,0.2120284922507321,-0.008771902956404148
W M0.76,P3,0.65,subcell,0.22080039520713624,0.21204782377079184,-0.008752571436344392
W M0.76,P3,0.8,percell,0.19837389285581794,0.20065445610080168,0.002280563244983741
W M0.76,P3,0.8,subcell,0.19837389285581794,0.20071126069375342,0.002337367837935478
W M0.76,P3,0.9,percell,0.18512968070615557,0.18633056684093277,0.0012008861347772015
W M0.76,P3,0.9,subcell,0.18512968070615557,0.1864226368597563,0.0012929561536007272
W M0.76,P3,0.96,percell,0.14893793943010655,0.1722471416456167,0.02330920221551014
W M0.76,P3,0.96,subcell,0.14893793943010655,0.17234269939632807,0.023404759966221517
W M0.76,P3,0.99,percell,0.08296773969575051,0.13620219923635102,0.05323445954060051
W M0.76,P3,0.99,subcell,0.08296773969575051,0.13621834841953825,0.05325060872378774
W M0.76,S1,0.2,percell,0.09665157376317704,0.11172510869091917,0.015073534927742133
W M0.76,S1,0.2,subcell,0.09665157376317704,0.11172664242131636,0.015075068658139318
W M0.76,S1,0.44,percell,0.17779935827254914,0.19642665781655244,0.0186272995440033
W M0.76,S1,0.44,subcell,0.17779935827254914,0.19646291016343884,0.018663551890889696
W M0.76,S1,0.65,percell,0.22080039520713624,0.2120284922507321,-0.008771902956404148
W M0.76,S1,0.65,subcell,0.22080039520713624,0.21203941417267394,-0.008760981034462295
W M0.76,S1,0.8,percell,0.19837389285581794,0.1995043715365141,0.0011304786806961564
W M0.76,S1,0.8,subcell,0.19837389285581794,0.20056011573337898,0.0021862228775610393
W M0.76,S1,0.9,percell,0.18512968070615557,0.2506719044554258,0.06554222374927024
W M0.76,S1,0.9,subcell,0.18512968070615557,0.2507020004977258,0.06557231979157022
W M0.76,S1,0.96,percell,0.14893793943010655,0.9856717028026137,0.8367337633725072
W M0.76,S1,0.96,subcell,0.14893793943010655,0.9857224489966137,0.8367845095665071
W M0.76,S1,0.99,percell,0.08296773969575051,0.9753346931603681,0.8923669534646176
W M0.76,S1,0.99,subcell,0.08296773969575051,0.9753766013347944,0.8924088616390439
W M0.76,S2,0.44,percell,0.17779935827254914,0.1957220126902602,0.01792265441771107
W M0.76,S2,0.44,subcell,0.17779935827254914,0.19641274113443463,0.01861338286188549
W M0.76,S2,0.65,percell,0.22080039520713624,0.2049208356173386,-0.015879559589797643
W M0.76,S2,0.65,subcell,0.22080039520713624,0.20496043191573607,-0.015839963291400166
W M0.76,S2,0.8,percell,0.19837389285581794,0.1995043715365141,0.0011304786806961564
W M0.76,S2,0.8,subcell,0.19837389285581794,0.2005999865072682,0.002226093651450267
W M0.76,S2,0.9,percell,0.18512968070615557,0.21397731049088595,0.028847629784730378
W M0.76,S2,0.9,subcell,0.18512968070615557,0.21415340641076244,0.029023725704606873
W M0.76,S2,0.96,percell,0.14893793943010655,0.17447455675457713,0.025536617324470573
W M0.76,S2,0.96,subcell,0.14893793943010655,0.17451396316858622,0.02557602373847967
W M0.76,S2,0.99,percell,0.08296773969575051,0.13317430251434,0.0502065628185895
W M0.76,S2,0.99,subcell,0.08296773969575051,0.13326933982357833,0.05030160012782782
W M0.76,S3,0.44,percell,0.17779935827254914,0.19642665781655244,0.0186272995440033
W M0.76,S3,0.44,subcell,0.17779935827254914,0.1964552280255284,0.018655869752979254
W M0.76,S3,0.65,percell,0.22080039520713624,0.20234678999021552,-0.018453605216920715
W M0.76,S3,0.65,subcell,0.22080039520713624,0.20393817406544448,-0.016862221141691752
W M0.76,S3,0.8,percell,0.19837389285581794,0.1995043715365141,0.0011304786806961564
W M0.76,S3,0.8,subcell,0.19837389285581794,0.20044180750789076,0.0020679146520728164
W M0.76,S3,0.9,percell,0.18512968070615557,0.19525172430084126,0.010122043594685687
W M0.76,S3,0.9,subcell,0.18512968070615557,0.19528997983566027,0.010160299129504696
W M0.76,S3,0.96,percell,0.14893793943010655,0.1639735940101274,0.015035654580020846
W M0.76,S3,0.96,subcell,0.14893793943010655,0.16524816303650183,0.01631022360639528
W M0.76,S3,0.99,percell,0.08296773969575051,0.13016319441593138,0.04719545472018087
W M0.76,S3,0.99,subcell,0.08296773969575051,0.1302509058760784,0.04728316618032789
W M0.78,P0,0.2,percell,0.39956321318342125,0.3972202766165634,-0.002342936566857856
W M0.78,P0,0.2,subcell,0.39956321318342125,0.3972903807175909,-0.0022728324658303767
W M0.78,P0,0.44,percell,0.3975518828115314,0.42080969343746993,0.023257810625938513
W M0.78,P0,0.44,subcell,0.3975518828115314,0.4208339662024099,0.023282083390878505
W M0.78,P0,0.65,percell,0.35986938579084743,0.37764590801220843,0.017776522221361002
W M0.78,P0,0.65,subcell,0.35986938579084743,0.3776523253832969,0.017782939592449476
W M0.78,P0,0.8,percell,0.29573910690159105,0.9783472120176484,0.6826081051160573
W M0.78,P0,0.8,subcell,0.29573910690159105,0.9796365615994825,0.6838974546978915
W M0.78,P0,0.9,percell,0.2335662222796183,0.2589153628639305,0.02534914058431223
W M0.78,P0,0.9,subcell,0.2335662222796183,0.2589297443515262,0.025363522071907924
W M0.78,P0,0.96,percell,0.17069770758907693,0.9856717028026137,0.8149739952135369
W M0.78,P0,0.96,subcell,0.17069770758907693,0.9858599186642973,0.8151622110752204
W M0.78,P0,0.99,percell,0.10914388443267178,0.9785004028722927,0.8693565184396209
W M0.78,P0,0.99,subcell,0.10914388443267178,0.9785128731181678,0.8693689886854961
W M0.78,P1,0.2,percell,0.39956321318342125,0.3972202766165634,-0.002342936566857856
W M0.78,P1,0.2,subcell,0.39956321318342125,0.39722401683287223,-0.002339196350549022
W M0.78,P1,0.44,percell,0.3975518828115314,0.37901902906025664,-0.01853285375127478
W M0.78,P1,0.44,subcell,0.3975518828115314,0.37901916383515627,-0.01853271897637515
W M0.78,P1,0.65,percell,0.35986938579084743,0.3462534265694207,-0.013615959221426721
W M0.78,P1,0.65,subcell,0.35986938579084743,0.34627308262000894,-0.013596303170838486
W M0.78,P1,0.8,percell,0.29573910690159105,0.2857509785347183,-0.00998812836687274
W M0.78,P1,0.8,subcell,0.29573910690159105,0.28590280334877427,-0.009836303552816783
W M0.78,P1,0.9,percell,0.2335662222796183,0.27108494588532045,0.03751872360570216
W M0.78,P1,0.9,subcell,0.2335662222796183,0.27192186047190686,0.03835563819228857
W M0.78,P1,0.96,percell,0.17069770758907693,0.20228103212804013,0.0315833245389632
W M0.78,P1,0.96,subcell,0.17069770758907693,0.20235392921030265,0.03165622162122572
W M0.78,P1,0.99,percell,0.10914388443267178,0.9738007765786793,0.8646568921460075
W M0.78,P1,0.99,subcell,0.10914388443267178,0.9738496587269772,0.8647057742943054
W M0.78,P2,0.2,percell,0.39956321318342125,0.39688188025271726,-0.0026813329307039946
W M0.78,P2,0.2,subcell,0.39956321318342125,0.397053619494263,-0.0025095936891582626
W M0.78,P2,0.44,percell,0.3975518828115314,0.37901902906025664,-0.01853285375127478
W M0.78,P2,0.44,subcell,0.3975518828115314,0.37901968085316395,-0.018532201958367467
