form,r_c_over_b,edge_coarse,edge_medium,p_edge,gamma_last_coarse,gamma_last_medium,q,cl_KJ,dcl_pct,d_inboard_pct,n_te_in_taper,clean,peak_elem,peak_z_over_b,peak_dx,peak_is_cut,peak_beyond_tip,peak_V_over_median,conforming_p,conforming_dcl
none,0.00,0.672,1.532,+1.341,0.00011,0.00218,-4.87,0.2129,+0.00,+0.00,0,1,93977,1.0118,+0.0606,0,1,0.71,+0.521,+0.00
vanish_smooth,0.03,0.675,1.564,+1.368,0.00000,0.00000,-0.47,0.2129,+0.02,+0.01,5,1,93977,1.0118,+0.0606,0,1,0.71,+0.207,-0.70
vanish_smooth,0.05,0.681,1.619,+1.409,0.00000,0.00000,6.12,0.2130,+0.06,+0.02,8,1,79709,1.0036,+0.0084,0,1,0.03,-0.004,-1.58
vanish_smooth,0.08,0.702,1.856,+1.582,0.00000,0.00000,nan,0.2134,+0.22,+0.08,13,1,79709,1.0036,+0.0084,0,1,0.03,+0.059,-3.27
vanish_linear,0.05,0.678,1.569,+1.367,0.00000,0.00000,4.73,0.2130,+0.03,+0.01,8,1,93977,1.0118,+0.0606,0,1,0.71,+0.103,-1.74
